Trade(tid=7700206, price=0.14907000, amount=0.27833000, maker_side=sell, created_at=2018-06-04 13:54:19+00:00)
Trade(tid=7700207, price=0.14907998, amount=0.00069761, maker_side=sell, created_at=2018-06-04 13:54:19+00:00)
Trade(tid=7700210, price=0.14907998, amount=0.02581939, maker_side=sell, created_at=2018-06-04 13:54:22+00:00)
Trade(tid=7700211, price=0.14907999, amount=0.00006473, maker_side=sell, created_at=2018-06-04 13:54:22+00:00)
Trade(tid=7700213, price=0.14907999, amount=0.44504558, maker_side=sell, created_at=2018-06-04 13:54:23+00:00)
Trade(tid=7700214, price=0.14907999, amount=0.44505322, maker_side=sell, created_at=2018-06-04 13:54:27+00:00)
Trade(tid=7700218, price=0.14907999, amount=0.44504437, maker_side=sell, created_at=2018-06-04 13:54:41+00:00)
Trade(tid=7700229, price=0.14907999, amount=0.44504558, maker_side=sell, created_at=2018-06-04 13:55:28+00:00)
Trade(tid=7700230, price=0.14907999, amount=0.44504564, maker_side=sell, created_at=2018-06-04 13:55:31+00:00)
Trade(tid=7700231, price=0.14907999, amount=0.44504564, maker_side=sell, created_at=2018-06-04 13:55:33+00:00)
Trade(tid=7700236, price=0.14907999, amount=0.44505322, maker_side=sell, created_at=2018-06-04 13:55:36+00:00)
Trade(tid=7700237, price=0.14907999, amount=0.44505322, maker_side=sell, created_at=2018-06-04 13:55:37+00:00)
Trade(tid=7700238, price=0.14907999, amount=0.44586956, maker_side=sell, created_at=2018-06-04 13:55:39+00:00)
Trade(tid=7700239, price=0.14907999, amount=0.44586956, maker_side=sell, created_at=2018-06-04 13:55:41+00:00)
Trade(tid=7700240, price=0.14907999, amount=0.44587828, maker_side=sell, created_at=2018-06-04 13:55:43+00:00)
Trade(tid=7700241, price=0.14907999, amount=0.44587848, maker_side=sell, created_at=2018-06-04 13:55:46+00:00)
Trade(tid=7700247, price=0.14907999, amount=0.09037095, maker_side=sell, created_at=2018-06-04 13:56:10+00:00)
Trade(tid=7700375, price=0.14800000, amount=0.00158359, maker_side=buy, created_at=2018-06-04 14:02:26+00:00)
Trade(tid=7700398, price=0.14740000, amount=0.04918172, maker_side=buy, created_at=2018-06-04 14:04:31+00:00)
Trade(tid=7700464, price=0.14740002, amount=0.00139077, maker_side=buy, created_at=2018-06-04 14:07:08+00:00)
Trade(tid=7700465, price=0.14740001, amount=0.02477612, maker_side=buy, created_at=2018-06-04 14:07:08+00:00)
Trade(tid=7700466, price=0.14740000, amount=2.12381828, maker_side=buy, created_at=2018-06-04 14:07:08+00:00)
Trade(tid=7700468, price=0.14740000, amount=0.00490502, maker_side=sell, created_at=2018-06-04 14:07:09+00:00)
Trade(tid=7700545, price=0.14700002, amount=0.00164976, maker_side=buy, created_at=2018-06-04 14:13:16+00:00)
Trade(tid=7700546, price=0.14600000, amount=0.00068494, maker_side=buy, created_at=2018-06-04 14:13:16+00:00)
Trade(tid=7700547, price=0.14591100, amount=0.03238200, maker_side=buy, created_at=2018-06-04 14:13:16+00:00)
Trade(tid=7700557, price=0.14591098, amount=0.00139900, maker_side=sell, created_at=2018-06-04 14:13:56+00:00)
Trade(tid=7700558, price=0.14591099, amount=0.00489154, maker_side=sell, created_at=2018-06-04 14:13:56+00:00)
Trade(tid=7700572, price=0.14500010, amount=0.04087101, maker_side=buy, created_at=2018-06-04 14:14:31+00:00)
Trade(tid=7700596, price=0.14500000, amount=0.08129409, maker_side=buy, created_at=2018-06-04 14:16:51+00:00)
Trade(tid=7700629, price=0.14500000, amount=0.07673078, maker_side=buy, created_at=2018-06-04 14:19:15+00:00)
Trade(tid=7700784, price=0.14500000, amount=0.15543186, maker_side=buy, created_at=2018-06-04 14:31:07+00:00)
Trade(tid=7700929, price=0.14500000, amount=0.37145859, maker_side=buy, created_at=2018-06-04 14:42:07+00:00)
Trade(tid=7700930, price=0.14500000, amount=0.02000000, maker_side=buy, created_at=2018-06-04 14:42:07+00:00)
Trade(tid=7700931, price=0.14500000, amount=0.38118000, maker_side=buy, created_at=2018-06-04 14:42:07+00:00)
Trade(tid=7700947, price=0.14499999, amount=0.02471600, maker_side=sell, created_at=2018-06-04 14:42:56+00:00)
Trade(tid=7700948, price=0.14500000, amount=0.17528400, maker_side=sell, created_at=2018-06-04 14:42:56+00:00)
Trade(tid=7700965, price=0.14491000, amount=0.00259405, maker_side=buy, created_at=2018-06-04 14:45:09+00:00)
Trade(tid=7700974, price=0.14500000, amount=0.00191214, maker_side=sell, created_at=2018-06-04 14:46:03+00:00)
Trade(tid=7700988, price=0.14491000, amount=0.04207560, maker_side=buy, created_at=2018-06-04 14:47:32+00:00)
Trade(tid=7700990, price=0.14491000, amount=0.21352035, maker_side=buy, created_at=2018-06-04 14:47:37+00:00)
Trade(tid=7701029, price=0.14490998, amount=0.00489200, maker_side=sell, created_at=2018-06-04 14:49:44+00:00)
Trade(tid=7701030, price=0.14491000, amount=0.74510800, maker_side=sell, created_at=2018-06-04 14:49:44+00:00)
Trade(tid=7701250, price=0.14686996, amount=0.00394907, maker_side=sell, created_at=2018-06-04 15:03:36+00:00)
Trade(tid=7701292, price=0.14490106, amount=0.00398046, maker_side=buy, created_at=2018-06-04 15:06:22+00:00)
Trade(tid=7701430, price=0.14500000, amount=0.00028867, maker_side=buy, created_at=2018-06-04 15:13:15+00:00)
Trade(tid=7701913, price=0.14750999, amount=0.02356600, maker_side=sell, created_at=2018-06-04 15:52:57+00:00)
Trade(tid=7701914, price=0.14751000, amount=0.02381954, maker_side=sell, created_at=2018-06-04 15:52:57+00:00)
Trade(tid=7701937, price=0.14700000, amount=0.00028795, maker_side=buy, created_at=2018-06-04 15:55:28+00:00)
Trade(tid=7702022, price=0.14700000, amount=0.00556137, maker_side=buy, created_at=2018-06-04 16:00:08+00:00)
Trade(tid=7702102, price=0.14709992, amount=0.35358889, maker_side=sell, created_at=2018-06-04 16:08:02+00:00)
Trade(tid=7702103, price=0.14709993, amount=0.80000000, maker_side=sell, created_at=2018-06-04 16:08:02+00:00)
Trade(tid=7702104, price=0.14711999, amount=0.07086411, maker_side=sell, created_at=2018-06-04 16:08:02+00:00)
Trade(tid=7702105, price=0.14758999, amount=0.11603870, maker_side=sell, created_at=2018-06-04 16:08:02+00:00)
Trade(tid=7702423, price=0.14876000, amount=0.00136800, maker_side=sell, created_at=2018-06-04 16:40:06+00:00)
Trade(tid=7702424, price=0.14876000, amount=0.21186513, maker_side=buy, created_at=2018-06-04 16:40:06+00:00)
Trade(tid=7702575, price=0.14600013, amount=0.00456283, maker_side=buy, created_at=2018-06-04 16:57:26+00:00)
Trade(tid=7702637, price=0.14610001, amount=0.01246264, maker_side=buy, created_at=2018-06-04 17:03:13+00:00)
Trade(tid=7702670, price=0.14610003, amount=0.06917815, maker_side=buy, created_at=2018-06-04 17:05:14+00:00)
Trade(tid=7702699, price=0.14610010, amount=0.00986347, maker_side=buy, created_at=2018-06-04 17:07:50+00:00)
Trade(tid=7702700, price=0.14610008, amount=0.00490759, maker_side=buy, created_at=2018-06-04 17:07:50+00:00)
Trade(tid=7702702, price=0.14610000, amount=0.01192978, maker_side=buy, created_at=2018-06-04 17:07:59+00:00)
Trade(tid=7702708, price=0.14600006, amount=0.01214733, maker_side=buy, created_at=2018-06-04 17:08:32+00:00)
Trade(tid=7702712, price=0.14600001, amount=0.01120960, maker_side=buy, created_at=2018-06-04 17:08:46+00:00)
Trade(tid=7702713, price=0.14600000, amount=0.03359140, maker_side=buy, created_at=2018-06-04 17:08:46+00:00)
Trade(tid=7702727, price=0.14600000, amount=0.17092915, maker_side=buy, created_at=2018-06-04 17:08:52+00:00)
Trade(tid=7702732, price=0.14570000, amount=0.01292712, maker_side=buy, created_at=2018-06-04 17:08:58+00:00)
Trade(tid=7702738, price=0.14569998, amount=0.00489500, maker_side=sell, created_at=2018-06-04 17:09:25+00:00)
Trade(tid=7702739, price=0.14570000, amount=0.44809058, maker_side=sell, created_at=2018-06-04 17:09:26+00:00)
Trade(tid=7702922, price=0.14490100, amount=0.13411900, maker_side=buy, created_at=2018-06-04 17:27:40+00:00)
Trade(tid=7703160, price=0.14401002, amount=0.00238291, maker_side=buy, created_at=2018-06-04 17:53:29+00:00)
Trade(tid=7703615, price=0.14549996, amount=0.80000000, maker_side=sell, created_at=2018-06-04 18:29:58+00:00)
Trade(tid=7703950, price=0.14423000, amount=0.09797223, maker_side=buy, created_at=2018-06-04 19:13:25+00:00)
Trade(tid=7703994, price=0.14550000, amount=0.00824786, maker_side=sell, created_at=2018-06-04 19:16:36+00:00)
Trade(tid=7703995, price=0.14695488, amount=0.00002069, maker_side=sell, created_at=2018-06-04 19:16:36+00:00)
Trade(tid=7704222, price=0.14600000, amount=0.01923247, maker_side=buy, created_at=2018-06-04 19:45:07+00:00)
Trade(tid=7704225, price=0.14598999, amount=0.00019248, maker_side=sell, created_at=2018-06-04 19:45:54+00:00)
Trade(tid=7704273, price=0.14587999, amount=0.00738934, maker_side=sell, created_at=2018-06-04 19:50:15+00:00)
Trade(tid=7704790, price=0.14680000, amount=0.02299000, maker_side=sell, created_at=2018-06-04 20:57:29+00:00)
Trade(tid=7704791, price=0.14778994, amount=0.00005765, maker_side=sell, created_at=2018-06-04 20:57:29+00:00)
Trade(tid=7704805, price=0.14778990, amount=0.08141601, maker_side=sell, created_at=2018-06-04 20:58:17+00:00)
Trade(tid=7704806, price=0.14778992, amount=0.07070049, maker_side=sell, created_at=2018-06-04 20:58:17+00:00)
Trade(tid=7705225, price=0.14850000, amount=0.08478747, maker_side=sell, created_at=2018-06-04 21:36:00+00:00)
Trade(tid=7705432, price=0.14850000, amount=0.01189996, maker_side=sell, created_at=2018-06-04 21:53:40+00:00)
Trade(tid=7705433, price=0.14900000, amount=0.01389314, maker_side=sell, created_at=2018-06-04 21:53:40+00:00)
Trade(tid=7705585, price=0.14892000, amount=0.00315539, maker_side=sell, created_at=2018-06-04 22:15:18+00:00)
Trade(tid=7705792, price=0.14601001, amount=0.02572863, maker_side=buy, created_at=2018-06-04 22:48:42+00:00)
Trade(tid=7705990, price=0.14891995, amount=0.00259462, maker_side=sell, created_at=2018-06-04 23:05:57+00:00)
Trade(tid=7706312, price=0.14520000, amount=0.00515187, maker_side=buy, created_at=2018-06-04 23:41:15+00:00)
Trade(tid=7706500, price=0.14589004, amount=0.00490775, maker_side=buy, created_at=2018-06-05 00:09:21+00:00)
Trade(tid=7706509, price=0.14844999, amount=0.00467666, maker_side=sell, created_at=2018-06-05 00:10:07+00:00)
Trade(tid=7706532, price=0.14800000, amount=0.00237696, maker_side=sell, created_at=2018-06-05 00:11:26+00:00)
