Trade(tid=7705656, price=22885.00, amount=0.44604112, maker_side=buy, created_at=2018-06-04 22:25:46+00:00)
Trade(tid=7705657, price=22885.00, amount=0.44604112, maker_side=buy, created_at=2018-06-04 22:25:47+00:00)
Trade(tid=7705658, price=22885.00, amount=0.44606912, maker_side=buy, created_at=2018-06-04 22:25:48+00:00)
Trade(tid=7705659, price=22885.00, amount=0.44606912, maker_side=buy, created_at=2018-06-04 22:25:49+00:00)
Trade(tid=7705660, price=22885.00, amount=0.22682401, maker_side=buy, created_at=2018-06-04 22:25:50+00:00)
Trade(tid=7705741, price=22499.82, amount=0.11337900, maker_side=sell, created_at=2018-06-04 22:38:52+00:00)
Trade(tid=7705742, price=22499.82, amount=0.02757955, maker_side=sell, created_at=2018-06-04 22:38:52+00:00)
Trade(tid=7705743, price=22499.82, amount=0.04152513, maker_side=sell, created_at=2018-06-04 22:38:52+00:00)
Trade(tid=7705808, price=22599.97, amount=0.00442478, maker_side=sell, created_at=2018-06-04 22:49:56+00:00)
Trade(tid=7705870, price=22230.20, amount=0.02249193, maker_side=buy, created_at=2018-06-04 22:53:32+00:00)
Trade(tid=7705903, price=22233.33, amount=0.17795760, maker_side=buy, created_at=2018-06-04 22:56:21+00:00)
Trade(tid=7705904, price=22230.20, amount=0.18191321, maker_side=buy, created_at=2018-06-04 22:56:21+00:00)
Trade(tid=7705921, price=22248.99, amount=0.16884095, maker_side=sell, created_at=2018-06-04 22:58:24+00:00)
Trade(tid=7705922, price=22249.99, amount=0.01861065, maker_side=sell, created_at=2018-06-04 22:58:24+00:00)
Trade(tid=7705923, price=22250.00, amount=0.52776009, maker_side=sell, created_at=2018-06-04 22:58:24+00:00)
Trade(tid=7705928, price=22230.20, amount=0.02051399, maker_side=buy, created_at=2018-06-04 22:59:45+00:00)
Trade(tid=7706009, price=22230.20, amount=1.3E-7, maker_side=buy, created_at=2018-06-04 23:07:16+00:00)
Trade(tid=7706013, price=22230.20, amount=0.69078956, maker_side=sell, created_at=2018-06-04 23:07:36+00:00)
Trade(tid=7706015, price=22000.00, amount=0.01818182, maker_side=buy, created_at=2018-06-04 23:07:52+00:00)
Trade(tid=7706016, price=22000.00, amount=0.60027046, maker_side=buy, created_at=2018-06-04 23:07:52+00:00)
Trade(tid=7706018, price=22000.00, amount=0.32625125, maker_side=sell, created_at=2018-06-04 23:07:53+00:00)
Trade(tid=7706020, price=22000.00, amount=0.32691457, maker_side=sell, created_at=2018-06-04 23:07:54+00:00)
Trade(tid=7706021, price=22000.00, amount=0.06546733, maker_side=sell, created_at=2018-06-04 23:07:55+00:00)
Trade(tid=7706022, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:07:58+00:00)
Trade(tid=7706023, price=22000.00, amount=0.45109610, maker_side=sell, created_at=2018-06-04 23:08:00+00:00)
Trade(tid=7706024, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:03+00:00)
Trade(tid=7706026, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:04+00:00)
Trade(tid=7706027, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:05+00:00)
Trade(tid=7706028, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:06+00:00)
Trade(tid=7706030, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:08+00:00)
Trade(tid=7706031, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:09+00:00)
Trade(tid=7706032, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:10+00:00)
Trade(tid=7706034, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:11+00:00)
Trade(tid=7706035, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:08:12+00:00)
Trade(tid=7706054, price=22000.00, amount=0.45454545, maker_side=sell, created_at=2018-06-04 23:10:31+00:00)
Trade(tid=7706055, price=22000.00, amount=0.16017365, maker_side=sell, created_at=2018-06-04 23:10:32+00:00)
Trade(tid=7706056, price=22000.00, amount=0.00800868, maker_side=sell, created_at=2018-06-04 23:10:35+00:00)
