Trade(tid=7706932, price=150502.01, amount=0.00743996, maker_side=buy, created_at=2018-06-05 00:58:16+00:00)
Trade(tid=7706933, price=150502.00, amount=0.84256004, maker_side=buy, created_at=2018-06-05 00:58:16+00:00)
Trade(tid=7706935, price=151000.00, amount=0.01324503, maker_side=sell, created_at=2018-06-05 00:58:42+00:00)
Trade(tid=7706937, price=151000.00, amount=0.00066225, maker_side=sell, created_at=2018-06-05 00:59:36+00:00)
Trade(tid=7706941, price=150550.43, amount=0.00116805, maker_side=buy, created_at=2018-06-05 01:01:08+00:00)
Trade(tid=7706942, price=150550.43, amount=0.00419328, maker_side=buy, created_at=2018-06-05 01:01:08+00:00)
Trade(tid=7706947, price=151000.00, amount=0.00198675, maker_side=sell, created_at=2018-06-05 01:03:00+00:00)
Trade(tid=7706948, price=150600.00, amount=0.00325366, maker_side=buy, created_at=2018-06-05 01:03:14+00:00)
Trade(tid=7706949, price=150550.40, amount=0.01003093, maker_side=sell, created_at=2018-06-05 01:03:36+00:00)
Trade(tid=7706950, price=150600.00, amount=0.01261848, maker_side=buy, created_at=2018-06-05 01:03:49+00:00)
Trade(tid=7706951, price=150507.06, amount=0.09244752, maker_side=buy, created_at=2018-06-05 01:03:49+00:00)
Trade(tid=7706952, price=151000.00, amount=0.01993597, maker_side=sell, created_at=2018-06-05 01:03:58+00:00)
Trade(tid=7706960, price=151000.00, amount=0.64611392, maker_side=sell, created_at=2018-06-05 01:06:31+00:00)
Trade(tid=7706961, price=151000.00, amount=1.00000000, maker_side=sell, created_at=2018-06-05 01:06:31+00:00)
Trade(tid=7706964, price=150528.03, amount=0.00277400, maker_side=buy, created_at=2018-06-05 01:07:42+00:00)
Trade(tid=7706966, price=150529.46, amount=0.10000000, maker_side=buy, created_at=2018-06-05 01:08:08+00:00)
Trade(tid=7706976, price=150537.62, amount=0.01000000, maker_side=buy, created_at=2018-06-05 01:08:47+00:00)
Trade(tid=7706984, price=150542.82, amount=0.00095510, maker_side=buy, created_at=2018-06-05 01:09:11+00:00)
Trade(tid=7706985, price=150550.60, amount=0.00300000, maker_side=buy, created_at=2018-06-05 01:09:59+00:00)
Trade(tid=7706988, price=150556.48, amount=0.00008101, maker_side=buy, created_at=2018-06-05 01:10:51+00:00)
Trade(tid=7706996, price=150572.60, amount=0.00070836, maker_side=buy, created_at=2018-06-05 01:11:51+00:00)
Trade(tid=7706999, price=151895.67, amount=0.02277332, maker_side=sell, created_at=2018-06-05 01:12:06+00:00)
Trade(tid=7707000, price=151895.70, amount=0.00481311, maker_side=sell, created_at=2018-06-05 01:12:06+00:00)
Trade(tid=7707003, price=151002.93, amount=0.00070836, maker_side=buy, created_at=2018-06-05 01:12:16+00:00)
Trade(tid=7707004, price=151000.00, amount=0.01362980, maker_side=buy, created_at=2018-06-05 01:12:25+00:00)
Trade(tid=7707005, price=151000.00, amount=0.00835600, maker_side=buy, created_at=2018-06-05 01:12:41+00:00)
Trade(tid=7707011, price=151000.00, amount=0.00500000, maker_side=buy, created_at=2018-06-05 01:13:00+00:00)
Trade(tid=7707012, price=151000.00, amount=0.00010000, maker_side=buy, created_at=2018-06-05 01:13:04+00:00)
Trade(tid=7707015, price=151000.00, amount=0.13333333, maker_side=buy, created_at=2018-06-05 01:13:24+00:00)
Trade(tid=7707016, price=151896.09, amount=0.00354266, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707017, price=151896.17, amount=0.00628266, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707018, price=151898.67, amount=0.02277332, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707019, price=151898.67, amount=0.01725332, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707020, price=151898.70, amount=0.01935332, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707021, price=151898.70, amount=0.01935332, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707022, price=151899.10, amount=0.09577470, maker_side=sell, created_at=2018-06-05 01:13:29+00:00)
Trade(tid=7707025, price=151800.00, amount=0.00093208, maker_side=sell, created_at=2018-06-05 01:13:47+00:00)
Trade(tid=7707028, price=151893.09, amount=0.00128332, maker_side=sell, created_at=2018-06-05 01:14:07+00:00)
Trade(tid=7707031, price=151893.09, amount=2E-8, maker_side=buy, created_at=2018-06-05 01:14:09+00:00)
Trade(tid=7707034, price=151893.06, amount=0.00038303, maker_side=sell, created_at=2018-06-05 01:14:13+00:00)
Trade(tid=7707040, price=150608.49, amount=0.00027400, maker_side=buy, created_at=2018-06-05 01:15:13+00:00)
Trade(tid=7707041, price=151893.49, amount=0.00221688, maker_side=sell, created_at=2018-06-05 01:15:18+00:00)
Trade(tid=7707044, price=151896.08, amount=0.00105335, maker_side=sell, created_at=2018-06-05 01:16:35+00:00)
Trade(tid=7707045, price=150650.00, amount=0.00100000, maker_side=buy, created_at=2018-06-05 01:17:16+00:00)
Trade(tid=7707047, price=150650.00, amount=0.01363036, maker_side=buy, created_at=2018-06-05 01:17:43+00:00)
Trade(tid=7707048, price=150650.00, amount=0.00015881, maker_side=buy, created_at=2018-06-05 01:17:45+00:00)
Trade(tid=7707052, price=151893.02, amount=0.00100610, maker_side=sell, created_at=2018-06-05 01:17:48+00:00)
Trade(tid=7707055, price=151890.00, amount=0.00129137, maker_side=buy, created_at=2018-06-05 01:17:55+00:00)
Trade(tid=7707057, price=151890.00, amount=0.00002538, maker_side=buy, created_at=2018-06-05 01:17:56+00:00)
Trade(tid=7707058, price=150650.00, amount=0.00129137, maker_side=buy, created_at=2018-06-05 01:17:56+00:00)
Trade(tid=7707062, price=151886.99, amount=0.00329193, maker_side=sell, created_at=2018-06-05 01:18:31+00:00)
Trade(tid=7707065, price=150650.43, amount=0.02700000, maker_side=buy, created_at=2018-06-05 01:19:57+00:00)
Trade(tid=7707066, price=151800.00, amount=0.00126654, maker_side=buy, created_at=2018-06-05 01:20:00+00:00)
Trade(tid=7707069, price=151878.14, amount=0.00086674, maker_side=sell, created_at=2018-06-05 01:20:07+00:00)
Trade(tid=7707074, price=151868.99, amount=0.00551970, maker_side=sell, created_at=2018-06-05 01:20:58+00:00)
Trade(tid=7707075, price=151869.07, amount=0.00047889, maker_side=sell, created_at=2018-06-05 01:20:58+00:00)
Trade(tid=7707076, price=151861.00, amount=0.00037284, maker_side=sell, created_at=2018-06-05 01:21:21+00:00)
Trade(tid=7707077, price=151800.00, amount=0.00005099, maker_side=buy, created_at=2018-06-05 01:21:25+00:00)
Trade(tid=7707078, price=151000.00, amount=0.00132451, maker_side=buy, created_at=2018-06-05 01:21:25+00:00)
Trade(tid=7707079, price=150650.43, amount=0.01101560, maker_side=buy, created_at=2018-06-05 01:21:25+00:00)
Trade(tid=7707080, price=151858.40, amount=0.00065656, maker_side=sell, created_at=2018-06-05 01:21:29+00:00)
Trade(tid=7707090, price=150655.20, amount=0.00036513, maker_side=buy, created_at=2018-06-05 01:21:49+00:00)
Trade(tid=7707093, price=150655.00, amount=0.00036513, maker_side=buy, created_at=2018-06-05 01:21:55+00:00)
Trade(tid=7707094, price=151858.40, amount=0.00197552, maker_side=sell, created_at=2018-06-05 01:22:25+00:00)
Trade(tid=7707096, price=151855.47, amount=0.00065852, maker_side=sell, created_at=2018-06-05 01:23:02+00:00)
Trade(tid=7707097, price=150655.00, amount=0.00001030, maker_side=buy, created_at=2018-06-05 01:23:02+00:00)
Trade(tid=7707098, price=150650.00, amount=0.00023771, maker_side=buy, created_at=2018-06-05 01:23:02+00:00)
Trade(tid=7707103, price=150650.00, amount=0.02429244, maker_side=buy, created_at=2018-06-05 01:24:16+00:00)
Trade(tid=7707104, price=150650.00, amount=0.00060000, maker_side=buy, created_at=2018-06-05 01:24:16+00:00)
Trade(tid=7707105, price=150537.99, amount=0.00099643, maker_side=buy, created_at=2018-06-05 01:24:16+00:00)
Trade(tid=7707106, price=150500.06, amount=0.02411113, maker_side=buy, created_at=2018-06-05 01:24:16+00:00)
Trade(tid=7707107, price=150500.06, amount=0.00048749, maker_side=buy, created_at=2018-06-05 01:24:22+00:00)
