Trade(tid=7703026, price=0.07793201, amount=0.04992660, maker_side=buy, created_at=2018-06-04 17:37:09+00:00)
Trade(tid=7703027, price=0.07791201, amount=0.07700996, maker_side=buy, created_at=2018-06-04 17:37:09+00:00)
Trade(tid=7703028, price=0.07742001, amount=2.00000000, maker_side=buy, created_at=2018-06-04 17:37:09+00:00)
Trade(tid=7703034, price=0.07740000, amount=0.85806331, maker_side=sell, created_at=2018-06-04 17:37:11+00:00)
Trade(tid=7703035, price=0.07740000, amount=0.45600898, maker_side=sell, created_at=2018-06-04 17:37:13+00:00)
Trade(tid=7703036, price=0.07800000, amount=0.40205436, maker_side=sell, created_at=2018-06-04 17:37:13+00:00)
Trade(tid=7703053, price=0.07742300, amount=0.00695181, maker_side=buy, created_at=2018-06-04 17:38:30+00:00)
Trade(tid=7703112, price=0.07745000, amount=0.03630917, maker_side=buy, created_at=2018-06-04 17:47:36+00:00)
Trade(tid=7703113, price=0.07800000, amount=0.85172628, maker_side=sell, created_at=2018-06-04 17:47:51+00:00)
Trade(tid=7703114, price=0.07800000, amount=0.45053647, maker_side=sell, created_at=2018-06-04 17:47:52+00:00)
Trade(tid=7703115, price=0.07862200, amount=0.00067691, maker_side=sell, created_at=2018-06-04 17:47:52+00:00)
Trade(tid=7703752, price=0.07761101, amount=0.00011596, maker_side=buy, created_at=2018-06-04 18:45:54+00:00)
Trade(tid=7703753, price=0.07761101, amount=0.06430790, maker_side=buy, created_at=2018-06-04 18:45:54+00:00)
Trade(tid=7704024, price=0.07866399, amount=0.00906600, maker_side=sell, created_at=2018-06-04 19:20:59+00:00)
Trade(tid=7704025, price=0.07866400, amount=0.03061366, maker_side=sell, created_at=2018-06-04 19:20:59+00:00)
Trade(tid=7704052, price=0.07768500, amount=0.00445996, maker_side=buy, created_at=2018-06-04 19:24:13+00:00)
Trade(tid=7704148, price=0.07866400, amount=0.01923806, maker_side=sell, created_at=2018-06-04 19:34:30+00:00)
Trade(tid=7704149, price=0.07866400, amount=0.00074776, maker_side=sell, created_at=2018-06-04 19:34:30+00:00)
Trade(tid=7704173, price=0.07878400, amount=0.00009735, maker_side=sell, created_at=2018-06-04 19:36:37+00:00)
