Trade(tid=7706430, price=11992.99, amount=0.05000000, maker_side=sell, created_at=2018-06-04 23:57:28+00:00)
Trade(tid=7706431, price=11993.00, amount=0.17160011, maker_side=sell, created_at=2018-06-04 23:57:28+00:00)
Trade(tid=7706432, price=11997.00, amount=0.04942903, maker_side=sell, created_at=2018-06-04 23:57:28+00:00)
Trade(tid=7706433, price=11997.00, amount=0.10377595, maker_side=sell, created_at=2018-06-04 23:57:28+00:00)
Trade(tid=7706434, price=11997.59, amount=0.22903996, maker_side=sell, created_at=2018-06-04 23:57:28+00:00)
Trade(tid=7706435, price=11997.99, amount=0.17139727, maker_side=sell, created_at=2018-06-04 23:57:28+00:00)
Trade(tid=7706447, price=11997.14, amount=0.01250298, maker_side=buy, created_at=2018-06-05 00:00:46+00:00)
Trade(tid=7706456, price=11808.88, amount=0.08468204, maker_side=buy, created_at=2018-06-05 00:02:15+00:00)
Trade(tid=7706457, price=11802.61, amount=0.12078328, maker_side=buy, created_at=2018-06-05 00:02:15+00:00)
Trade(tid=7706458, price=11802.58, amount=0.05037328, maker_side=buy, created_at=2018-06-05 00:02:15+00:00)
Trade(tid=7706459, price=11802.18, amount=0.75232654, maker_side=buy, created_at=2018-06-05 00:02:15+00:00)
Trade(tid=7706460, price=11802.19, amount=0.16920589, maker_side=buy, created_at=2018-06-05 00:02:16+00:00)
Trade(tid=7706461, price=11802.18, amount=0.42984342, maker_side=buy, created_at=2018-06-05 00:02:16+00:00)
Trade(tid=7706473, price=11997.98, amount=0.01009670, maker_side=sell, created_at=2018-06-05 00:04:55+00:00)
Trade(tid=7706482, price=11851.10, amount=0.11000000, maker_side=sell, created_at=2018-06-05 00:06:20+00:00)
Trade(tid=7706483, price=11997.98, amount=0.00055276, maker_side=sell, created_at=2018-06-05 00:06:20+00:00)
Trade(tid=7706486, price=11997.98, amount=0.00849393, maker_side=sell, created_at=2018-06-05 00:06:32+00:00)
Trade(tid=7706494, price=11997.98, amount=0.00756211, maker_side=sell, created_at=2018-06-05 00:07:21+00:00)
Trade(tid=7706496, price=11827.63, amount=0.07372328, maker_side=buy, created_at=2018-06-05 00:08:30+00:00)
Trade(tid=7706497, price=11827.23, amount=0.00477672, maker_side=buy, created_at=2018-06-05 00:08:30+00:00)
Trade(tid=7706505, price=11997.98, amount=0.00656360, maker_side=sell, created_at=2018-06-05 00:09:32+00:00)
Trade(tid=7706530, price=11835.89, amount=0.00738241, maker_side=buy, created_at=2018-06-05 00:10:55+00:00)
Trade(tid=7706543, price=11850.44, amount=0.08546332, maker_side=buy, created_at=2018-06-05 00:12:15+00:00)
Trade(tid=7706544, price=11850.41, amount=0.06693332, maker_side=buy, created_at=2018-06-05 00:12:15+00:00)
Trade(tid=7706545, price=11850.41, amount=0.05049332, maker_side=buy, created_at=2018-06-05 00:12:15+00:00)
Trade(tid=7706546, price=11850.01, amount=0.21521969, maker_side=buy, created_at=2018-06-05 00:12:15+00:00)
Trade(tid=7706555, price=11997.99, amount=0.00450659, maker_side=sell, created_at=2018-06-05 00:13:38+00:00)
Trade(tid=7706606, price=11900.00, amount=0.00920588, maker_side=sell, created_at=2018-06-05 00:26:14+00:00)
Trade(tid=7706609, price=11866.01, amount=0.03000000, maker_side=buy, created_at=2018-06-05 00:26:18+00:00)
Trade(tid=7706612, price=11900.00, amount=0.00898992, maker_side=sell, created_at=2018-06-05 00:26:45+00:00)
Trade(tid=7706619, price=11866.03, amount=0.03000000, maker_side=buy, created_at=2018-06-05 00:28:45+00:00)
Trade(tid=7706620, price=11866.03, amount=0.02000000, maker_side=buy, created_at=2018-06-05 00:28:57+00:00)
Trade(tid=7706644, price=11866.03, amount=0.10015411, maker_side=buy, created_at=2018-06-05 00:32:07+00:00)
Trade(tid=7706663, price=11900.00, amount=0.67501008, maker_side=sell, created_at=2018-06-05 00:36:43+00:00)
Trade(tid=7706677, price=11870.01, amount=0.12473983, maker_side=buy, created_at=2018-06-05 00:37:45+00:00)
Trade(tid=7706678, price=11870.01, amount=0.98016653, maker_side=buy, created_at=2018-06-05 00:37:48+00:00)
Trade(tid=7706679, price=11900.00, amount=0.22689076, maker_side=sell, created_at=2018-06-05 00:37:51+00:00)
Trade(tid=7706693, price=11900.00, amount=0.04094454, maker_side=sell, created_at=2018-06-05 00:38:58+00:00)
Trade(tid=7706706, price=11900.00, amount=0.03895882, maker_side=sell, created_at=2018-06-05 00:39:33+00:00)
Trade(tid=7706718, price=11900.00, amount=0.99000000, maker_side=buy, created_at=2018-06-05 00:39:50+00:00)
Trade(tid=7706761, price=11994.56, amount=0.30469980, maker_side=sell, created_at=2018-06-05 00:43:22+00:00)
Trade(tid=7706762, price=11994.99, amount=0.02878368, maker_side=sell, created_at=2018-06-05 00:43:22+00:00)
Trade(tid=7706769, price=11902.49, amount=0.00902380, maker_side=buy, created_at=2018-06-05 00:44:01+00:00)
Trade(tid=7706773, price=11900.00, amount=0.00978235, maker_side=buy, created_at=2018-06-05 00:44:31+00:00)
Trade(tid=7706778, price=11900.00, amount=0.00491670, maker_side=buy, created_at=2018-06-05 00:44:35+00:00)
Trade(tid=7706790, price=11900.86, amount=0.00977985, maker_side=buy, created_at=2018-06-05 00:45:07+00:00)
Trade(tid=7706791, price=11989.34, amount=0.01251111, maker_side=sell, created_at=2018-06-05 00:45:17+00:00)
Trade(tid=7706793, price=11901.69, amount=0.00940617, maker_side=sell, created_at=2018-06-05 00:45:20+00:00)
Trade(tid=7706796, price=11902.09, amount=0.00548749, maker_side=sell, created_at=2018-06-05 00:45:25+00:00)
Trade(tid=7706801, price=11903.78, amount=0.00860720, maker_side=buy, created_at=2018-06-05 00:45:43+00:00)
Trade(tid=7706815, price=11900.00, amount=0.00757940, maker_side=buy, created_at=2018-06-05 00:47:25+00:00)
Trade(tid=7706818, price=11900.00, amount=0.00815547, maker_side=buy, created_at=2018-06-05 00:47:32+00:00)
Trade(tid=7706822, price=11910.00, amount=0.00815529, maker_side=buy, created_at=2018-06-05 00:47:36+00:00)
Trade(tid=7706824, price=11994.99, amount=0.01261836, maker_side=sell, created_at=2018-06-05 00:47:37+00:00)
Trade(tid=7706827, price=11910.00, amount=0.00815529, maker_side=buy, created_at=2018-06-05 00:47:47+00:00)
Trade(tid=7706831, price=11910.00, amount=0.00815529, maker_side=buy, created_at=2018-06-05 00:47:52+00:00)
Trade(tid=7706832, price=11994.56, amount=0.01458992, maker_side=sell, created_at=2018-06-05 00:47:53+00:00)
Trade(tid=7706834, price=11910.00, amount=0.00640955, maker_side=buy, created_at=2018-06-05 00:47:56+00:00)
Trade(tid=7706838, price=11910.00, amount=0.00516247, maker_side=buy, created_at=2018-06-05 00:48:07+00:00)
Trade(tid=7706839, price=11910.00, amount=0.00516247, maker_side=buy, created_at=2018-06-05 00:48:15+00:00)
Trade(tid=7706842, price=11910.00, amount=1.30000000, maker_side=buy, created_at=2018-06-05 00:48:18+00:00)
Trade(tid=7706845, price=11910.00, amount=0.00428945, maker_side=buy, created_at=2018-06-05 00:48:20+00:00)
Trade(tid=7706846, price=11910.00, amount=0.00428945, maker_side=buy, created_at=2018-06-05 00:48:25+00:00)
Trade(tid=7706852, price=11910.00, amount=0.00790565, maker_side=buy, created_at=2018-06-05 00:48:36+00:00)
Trade(tid=7706864, price=11913.78, amount=0.03921557, maker_side=buy, created_at=2018-06-05 00:50:19+00:00)
Trade(tid=7706866, price=11994.98, amount=0.00647354, maker_side=sell, created_at=2018-06-05 00:50:30+00:00)
Trade(tid=7706868, price=11914.61, amount=0.00473523, maker_side=buy, created_at=2018-06-05 00:50:34+00:00)
Trade(tid=7706870, price=11913.81, amount=0.00770575, maker_side=buy, created_at=2018-06-05 00:50:41+00:00)
Trade(tid=7706873, price=11914.24, amount=0.00473523, maker_side=buy, created_at=2018-06-05 00:50:46+00:00)
Trade(tid=7706877, price=11914.67, amount=0.00473523, maker_side=buy, created_at=2018-06-05 00:50:50+00:00)
Trade(tid=7706887, price=11915.10, amount=0.00770575, maker_side=buy, created_at=2018-06-05 00:50:56+00:00)
Trade(tid=7706892, price=11915.90, amount=0.00645803, maker_side=buy, created_at=2018-06-05 00:51:06+00:00)
Trade(tid=7706895, price=11916.39, amount=0.00645803, maker_side=buy, created_at=2018-06-05 00:51:12+00:00)
Trade(tid=7706897, price=11916.36, amount=0.00660856, maker_side=buy, created_at=2018-06-05 00:51:15+00:00)
Trade(tid=7706918, price=11994.98, amount=0.05000000, maker_side=sell, created_at=2018-06-05 00:56:47+00:00)
Trade(tid=7706919, price=11994.99, amount=0.03785541, maker_side=sell, created_at=2018-06-05 00:56:47+00:00)
Trade(tid=7706934, price=12000.00, amount=0.07884750, maker_side=sell, created_at=2018-06-05 00:58:41+00:00)
Trade(tid=7706967, price=12000.00, amount=0.17415250, maker_side=sell, created_at=2018-06-05 01:08:22+00:00)
Trade(tid=7706968, price=12000.00, amount=0.05052351, maker_side=sell, created_at=2018-06-05 01:08:22+00:00)
Trade(tid=7706970, price=12035.86, amount=0.01000000, maker_side=sell, created_at=2018-06-05 01:08:35+00:00)
Trade(tid=7706971, price=12097.00, amount=0.19962153, maker_side=sell, created_at=2018-06-05 01:08:35+00:00)
