Trade(tid=7696847, price=0.01641000, amount=0.01176880, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696848, price=0.01644000, amount=0.10000000, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7696849, price=0.01646899, amount=0.23330514, maker_side=sell, created_at=2018-06-04 01:53:15+00:00)
Trade(tid=7697381, price=0.01640000, amount=0.61951220, maker_side=sell, created_at=2018-06-04 03:27:22+00:00)
Trade(tid=7697389, price=0.01617500, amount=0.11119900, maker_side=buy, created_at=2018-06-04 03:30:35+00:00)
Trade(tid=7697570, price=0.01616000, amount=0.00618812, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697571, price=0.01616000, amount=0.02572700, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697572, price=0.01615350, amount=0.00619061, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7697573, price=0.01607572, amount=0.48813707, maker_side=buy, created_at=2018-06-04 04:14:24+00:00)
Trade(tid=7698449, price=0.01609000, amount=0.06836545, maker_side=buy, created_at=2018-06-04 06:44:52+00:00)
Trade(tid=7698457, price=0.01607510, amount=0.06151591, maker_side=buy, created_at=2018-06-04 06:46:01+00:00)
Trade(tid=7698754, price=0.01607510, amount=0.03848409, maker_side=buy, created_at=2018-06-04 09:17:23+00:00)
Trade(tid=7698763, price=0.01605003, amount=0.43613626, maker_side=buy, created_at=2018-06-04 09:30:59+00:00)
Trade(tid=7698764, price=0.01605003, amount=0.05386374, maker_side=buy, created_at=2018-06-04 09:30:59+00:00)
Trade(tid=7698766, price=0.01605001, amount=0.27617547, maker_side=buy, created_at=2018-06-04 09:36:50+00:00)
Trade(tid=7698767, price=0.01605000, amount=0.42576799, maker_side=buy, created_at=2018-06-04 09:36:50+00:00)
Trade(tid=7699126, price=0.01642000, amount=0.01212000, maker_side=sell, created_at=2018-06-04 11:34:37+00:00)
Trade(tid=7699127, price=0.01642000, amount=0.22188122, maker_side=buy, created_at=2018-06-04 11:34:38+00:00)
Trade(tid=7699128, price=0.01642000, amount=0.06782400, maker_side=buy, created_at=2018-06-04 11:35:07+00:00)
Trade(tid=7699129, price=0.01604000, amount=0.06234414, maker_side=buy, created_at=2018-06-04 11:35:07+00:00)
Trade(tid=7699381, price=0.01600035, amount=0.04976327, maker_side=buy, created_at=2018-06-04 12:15:52+00:00)
Trade(tid=7699634, price=0.01600000, amount=0.02629285, maker_side=buy, created_at=2018-06-04 12:44:32+00:00)
Trade(tid=7699705, price=0.01600000, amount=0.22704979, maker_side=buy, created_at=2018-06-04 12:58:47+00:00)
Trade(tid=7699775, price=0.01636900, amount=0.09161953, maker_side=sell, created_at=2018-06-04 13:20:08+00:00)
Trade(tid=7699846, price=0.01600001, amount=0.06236921, maker_side=buy, created_at=2018-06-04 13:30:31+00:00)
Trade(tid=7699849, price=0.01600000, amount=0.06236921, maker_side=buy, created_at=2018-06-04 13:31:10+00:00)
Trade(tid=7699856, price=0.01600001, amount=0.06241149, maker_side=buy, created_at=2018-06-04 13:31:42+00:00)
Trade(tid=7699864, price=0.01600001, amount=0.06236921, maker_side=sell, created_at=2018-06-04 13:32:29+00:00)
Trade(tid=7699870, price=0.01600001, amount=0.05022685, maker_side=buy, created_at=2018-06-04 13:32:51+00:00)
Trade(tid=7700040, price=0.01600000, amount=1.12502847, maker_side=buy, created_at=2018-06-04 13:41:21+00:00)
Trade(tid=7700448, price=0.01600000, amount=4.19408655, maker_side=buy, created_at=2018-06-04 14:06:29+00:00)
Trade(tid=7700449, price=0.01600000, amount=4.19572554, maker_side=buy, created_at=2018-06-04 14:06:30+00:00)
Trade(tid=7700451, price=0.01600000, amount=4.19408918, maker_side=buy, created_at=2018-06-04 14:06:31+00:00)
Trade(tid=7700469, price=0.01600000, amount=2.99999992, maker_side=buy, created_at=2018-06-04 14:07:12+00:00)
