Trade(tid=7706145, price=2399.00, amount=0.10000000, maker_side=sell, created_at=2018-06-04 23:21:14+00:00)
Trade(tid=7706146, price=2400.00, amount=1.60754167, maker_side=sell, created_at=2018-06-04 23:21:14+00:00)
Trade(tid=7706182, price=2400.00, amount=0.04041667, maker_side=sell, created_at=2018-06-04 23:24:42+00:00)
Trade(tid=7706188, price=2400.00, amount=0.11577500, maker_side=sell, created_at=2018-06-04 23:25:43+00:00)
Trade(tid=7706201, price=2400.00, amount=0.17241380, maker_side=sell, created_at=2018-06-04 23:26:38+00:00)
Trade(tid=7706206, price=2400.00, amount=0.17712500, maker_side=sell, created_at=2018-06-04 23:27:05+00:00)
Trade(tid=7706215, price=2400.00, amount=2.00000000, maker_side=sell, created_at=2018-06-04 23:28:12+00:00)
Trade(tid=7706226, price=2393.00, amount=0.00417886, maker_side=buy, created_at=2018-06-04 23:30:31+00:00)
Trade(tid=7706227, price=2392.01, amount=0.20902923, maker_side=buy, created_at=2018-06-04 23:30:31+00:00)
Trade(tid=7706228, price=2387.00, amount=0.02220780, maker_side=buy, created_at=2018-06-04 23:30:31+00:00)
Trade(tid=7706229, price=2385.00, amount=0.20000000, maker_side=buy, created_at=2018-06-04 23:30:31+00:00)
Trade(tid=7706230, price=2381.03, amount=0.56458411, maker_side=buy, created_at=2018-06-04 23:30:31+00:00)
Trade(tid=7706259, price=2400.00, amount=5.34149006, maker_side=sell, created_at=2018-06-04 23:35:29+00:00)
Trade(tid=7706260, price=2400.00, amount=1.00000000, maker_side=sell, created_at=2018-06-04 23:35:29+00:00)
Trade(tid=7706261, price=2430.00, amount=0.66462081, maker_side=sell, created_at=2018-06-04 23:35:29+00:00)
Trade(tid=7706262, price=2431.00, amount=2.81489099, maker_side=sell, created_at=2018-06-04 23:35:29+00:00)
Trade(tid=7706263, price=2439.99, amount=3.72151742, maker_side=sell, created_at=2018-06-04 23:35:29+00:00)
Trade(tid=7706296, price=2439.98, amount=0.13278797, maker_side=sell, created_at=2018-06-04 23:39:36+00:00)
Trade(tid=7706301, price=2439.97, amount=0.02049206, maker_side=sell, created_at=2018-06-04 23:40:34+00:00)
Trade(tid=7706355, price=2400.00, amount=0.66956251, maker_side=buy, created_at=2018-06-04 23:47:42+00:00)
Trade(tid=7706366, price=2400.00, amount=0.12500000, maker_side=sell, created_at=2018-06-04 23:49:18+00:00)
