Trade(tid=7704230, price=0.00008550, amount=773.95953216, maker_side=sell, created_at=2018-06-04 19:46:23+00:00)
Trade(tid=7704231, price=0.00008550, amount=773.97426901, maker_side=sell, created_at=2018-06-04 19:46:23+00:00)
Trade(tid=7704232, price=0.00008550, amount=773.97426901, maker_side=sell, created_at=2018-06-04 19:46:24+00:00)
Trade(tid=7704234, price=0.00008550, amount=773.95730994, maker_side=sell, created_at=2018-06-04 19:46:26+00:00)
Trade(tid=7704235, price=0.00008550, amount=138.96444444, maker_side=sell, created_at=2018-06-04 19:46:27+00:00)
Trade(tid=7704237, price=0.00008550, amount=375.01461144, maker_side=sell, created_at=2018-06-04 19:46:27+00:00)
Trade(tid=7704238, price=0.00008700, amount=20.00000000, maker_side=sell, created_at=2018-06-04 19:46:27+00:00)
Trade(tid=7704239, price=0.00008701, amount=23.15728500, maker_side=sell, created_at=2018-06-04 19:46:27+00:00)
Trade(tid=7704240, price=0.00008710, amount=91.59091000, maker_side=sell, created_at=2018-06-04 19:46:27+00:00)
Trade(tid=7704241, price=0.00008767, amount=5.50450553, maker_side=sell, created_at=2018-06-04 19:46:27+00:00)
Trade(tid=7704309, price=0.00008626, amount=0.30141400, maker_side=buy, created_at=2018-06-04 19:55:17+00:00)
Trade(tid=7704324, price=0.00008626, amount=25.72200400, maker_side=sell, created_at=2018-06-04 19:55:51+00:00)
Trade(tid=7704373, price=0.00008546, amount=25.70810700, maker_side=buy, created_at=2018-06-04 20:03:50+00:00)
Trade(tid=7704426, price=0.00008626, amount=231.97658200, maker_side=sell, created_at=2018-06-04 20:10:32+00:00)
Trade(tid=7704580, price=0.00008627, amount=60.80201700, maker_side=buy, created_at=2018-06-04 20:30:36+00:00)
Trade(tid=7704603, price=0.00008698, amount=59.78385900, maker_side=buy, created_at=2018-06-04 20:33:54+00:00)
Trade(tid=7704660, price=0.00008699, amount=179.09000000, maker_side=sell, created_at=2018-06-04 20:42:01+00:00)
Trade(tid=7704814, price=0.00008712, amount=25.65769900, maker_side=sell, created_at=2018-06-04 20:58:31+00:00)
Trade(tid=7705108, price=0.00008840, amount=25.50000000, maker_side=sell, created_at=2018-06-04 21:24:10+00:00)
Trade(tid=7705109, price=0.00008850, amount=95.56237288, maker_side=sell, created_at=2018-06-04 21:24:10+00:00)
Trade(tid=7705151, price=0.00008850, amount=4.43762712, maker_side=sell, created_at=2018-06-04 21:28:17+00:00)
Trade(tid=7705271, price=0.00008850, amount=745.24700565, maker_side=sell, created_at=2018-06-04 21:38:48+00:00)
Trade(tid=7705272, price=0.00008850, amount=506.75299435, maker_side=sell, created_at=2018-06-04 21:38:49+00:00)
Trade(tid=7705273, price=0.00008898, amount=1.27006069, maker_side=sell, created_at=2018-06-04 21:38:49+00:00)
Trade(tid=7705275, price=0.00008898, amount=18.72993931, maker_side=sell, created_at=2018-06-04 21:38:53+00:00)
Trade(tid=7705276, price=0.00008899, amount=17.86627711, maker_side=sell, created_at=2018-06-04 21:38:53+00:00)
Trade(tid=7705278, price=0.00008899, amount=741.14349927, maker_side=sell, created_at=2018-06-04 21:38:54+00:00)
Trade(tid=7705279, price=0.00008899, amount=741.14349927, maker_side=sell, created_at=2018-06-04 21:38:55+00:00)
Trade(tid=7705280, price=0.00008899, amount=741.14349927, maker_side=sell, created_at=2018-06-04 21:38:56+00:00)
