Trade(tid=7706649, price=13.19, amount=5.52312358, maker_side=sell, created_at=2018-06-05 00:35:07+00:00)
Trade(tid=7706659, price=13.18, amount=96.00000000, maker_side=buy, created_at=2018-06-05 00:36:35+00:00)
Trade(tid=7706680, price=13.19, amount=111.62056421, maker_side=sell, created_at=2018-06-05 00:37:53+00:00)
Trade(tid=7706681, price=13.20, amount=6.88599078, maker_side=sell, created_at=2018-06-05 00:37:53+00:00)
Trade(tid=7706682, price=13.29, amount=859.36190217, maker_side=sell, created_at=2018-06-05 00:37:53+00:00)
Trade(tid=7706683, price=13.18, amount=622.72534200, maker_side=buy, created_at=2018-06-05 00:37:57+00:00)
Trade(tid=7706684, price=13.18, amount=7.51138100, maker_side=buy, created_at=2018-06-05 00:37:57+00:00)
Trade(tid=7706685, price=13.17, amount=5571.25451000, maker_side=buy, created_at=2018-06-05 00:37:57+00:00)
Trade(tid=7706686, price=13.18, amount=6.06980300, maker_side=buy, created_at=2018-06-05 00:37:58+00:00)
Trade(tid=7706694, price=13.18, amount=52.87534900, maker_side=buy, created_at=2018-06-05 00:39:13+00:00)
Trade(tid=7706695, price=13.17, amount=161.64090900, maker_side=buy, created_at=2018-06-05 00:39:13+00:00)
Trade(tid=7706697, price=13.27, amount=6.87023900, maker_side=sell, created_at=2018-06-05 00:39:24+00:00)
Trade(tid=7706698, price=13.28, amount=5.15310400, maker_side=sell, created_at=2018-06-05 00:39:24+00:00)
Trade(tid=7706701, price=13.28, amount=6.86972900, maker_side=sell, created_at=2018-06-05 00:39:29+00:00)
Trade(tid=7706705, price=13.26, amount=8.30221500, maker_side=sell, created_at=2018-06-05 00:39:32+00:00)
Trade(tid=7706707, price=13.26, amount=0.00019800, maker_side=buy, created_at=2018-06-05 00:39:34+00:00)
Trade(tid=7706709, price=13.26, amount=8.30165900, maker_side=sell, created_at=2018-06-05 00:39:35+00:00)
Trade(tid=7706713, price=13.24, amount=6.75122900, maker_side=sell, created_at=2018-06-05 00:39:42+00:00)
Trade(tid=7706720, price=13.27, amount=4.79419300, maker_side=sell, created_at=2018-06-05 00:39:52+00:00)
Trade(tid=7706721, price=13.27, amount=0.00008000, maker_side=buy, created_at=2018-06-05 00:39:52+00:00)
Trade(tid=7706722, price=13.25, amount=11.81501400, maker_side=buy, created_at=2018-06-05 00:39:52+00:00)
Trade(tid=7706723, price=13.25, amount=0.00008000, maker_side=buy, created_at=2018-06-05 00:39:54+00:00)
Trade(tid=7706724, price=13.24, amount=0.00028200, maker_side=buy, created_at=2018-06-05 00:39:54+00:00)
Trade(tid=7706725, price=13.18, amount=11.81473200, maker_side=buy, created_at=2018-06-05 00:39:54+00:00)
Trade(tid=7706726, price=13.18, amount=11.81517400, maker_side=buy, created_at=2018-06-05 00:39:55+00:00)
