Trade(tid=7686331, price=0.14089000, amount=0.00147157, maker_side=buy, created_at=2018-06-03 01:28:30+00:00)
Trade(tid=7686356, price=0.14101003, amount=0.00146831, maker_side=buy, created_at=2018-06-03 01:30:22+00:00)
Trade(tid=7686373, price=0.14111000, amount=0.00121998, maker_side=buy, created_at=2018-06-03 01:34:01+00:00)
Trade(tid=7686396, price=0.14123000, amount=0.00133956, maker_side=buy, created_at=2018-06-03 01:39:23+00:00)
Trade(tid=7686421, price=0.14132000, amount=0.00121480, maker_side=buy, created_at=2018-06-03 01:44:54+00:00)
Trade(tid=7686463, price=0.14143002, amount=0.00133373, maker_side=buy, created_at=2018-06-03 01:51:40+00:00)
Trade(tid=7686512, price=0.14148001, amount=0.10000000, maker_side=buy, created_at=2018-06-03 01:59:57+00:00)
Trade(tid=7686534, price=0.14364999, amount=0.00146800, maker_side=sell, created_at=2018-06-03 02:07:35+00:00)
Trade(tid=7686535, price=0.14365000, amount=0.07616900, maker_side=sell, created_at=2018-06-03 02:07:35+00:00)
Trade(tid=7686536, price=0.14370000, amount=0.00069590, maker_side=sell, created_at=2018-06-03 02:07:35+00:00)
Trade(tid=7686537, price=0.14380000, amount=0.00337305, maker_side=sell, created_at=2018-06-03 02:07:35+00:00)
Trade(tid=7686538, price=0.14385900, amount=0.00069513, maker_side=sell, created_at=2018-06-03 02:07:35+00:00)
Trade(tid=7686539, price=0.14399998, amount=0.01242743, maker_side=sell, created_at=2018-06-03 02:07:35+00:00)
Trade(tid=7686656, price=0.14150001, amount=0.02402120, maker_side=buy, created_at=2018-06-03 02:43:05+00:00)
Trade(tid=7686657, price=0.14150001, amount=0.00503887, maker_side=buy, created_at=2018-06-03 02:43:05+00:00)
Trade(tid=7686665, price=0.14150000, amount=0.00693273, maker_side=buy, created_at=2018-06-03 02:43:20+00:00)
Trade(tid=7686666, price=0.14149014, amount=0.00341932, maker_side=buy, created_at=2018-06-03 02:43:20+00:00)
Trade(tid=7686915, price=0.14170976, amount=0.00423401, maker_side=sell, created_at=2018-06-03 03:59:52+00:00)
Trade(tid=7686959, price=0.14179998, amount=0.00286693, maker_side=sell, created_at=2018-06-03 04:15:54+00:00)
Trade(tid=7686963, price=0.14032000, amount=0.00285977, maker_side=buy, created_at=2018-06-03 04:20:42+00:00)
Trade(tid=7687039, price=0.14180000, amount=0.00136045, maker_side=sell, created_at=2018-06-03 04:46:03+00:00)
Trade(tid=7687051, price=0.14200001, amount=0.00427465, maker_side=buy, created_at=2018-06-03 04:48:22+00:00)
Trade(tid=7687052, price=0.14200000, amount=0.07042254, maker_side=buy, created_at=2018-06-03 04:48:22+00:00)
Trade(tid=7687064, price=0.14200000, amount=0.04225353, maker_side=buy, created_at=2018-06-03 04:50:20+00:00)
Trade(tid=7687078, price=0.14175010, amount=0.07054669, maker_side=buy, created_at=2018-06-03 04:57:29+00:00)
Trade(tid=7687080, price=0.14175000, amount=0.07054674, maker_side=buy, created_at=2018-06-03 04:57:51+00:00)
Trade(tid=7687081, price=0.14170000, amount=0.14114327, maker_side=buy, created_at=2018-06-03 04:57:52+00:00)
Trade(tid=7687137, price=0.14175970, amount=0.00156998, maker_side=sell, created_at=2018-06-03 05:45:42+00:00)
Trade(tid=7687530, price=0.14259999, amount=0.02242700, maker_side=sell, created_at=2018-06-03 07:13:39+00:00)
Trade(tid=7687532, price=0.14260000, amount=0.04855540, maker_side=sell, created_at=2018-06-03 07:14:25+00:00)
Trade(tid=7687538, price=0.14260000, amount=0.02169109, maker_side=sell, created_at=2018-06-03 07:17:52+00:00)
Trade(tid=7687620, price=0.14270000, amount=0.00135705, maker_side=sell, created_at=2018-06-03 07:41:23+00:00)
Trade(tid=7687625, price=0.14300000, amount=0.04214790, maker_side=sell, created_at=2018-06-03 07:42:47+00:00)
Trade(tid=7687627, price=0.14312000, amount=0.04179343, maker_side=sell, created_at=2018-06-03 07:46:01+00:00)
Trade(tid=7687662, price=0.14320000, amount=0.00641200, maker_side=buy, created_at=2018-06-03 07:51:24+00:00)
Trade(tid=7687663, price=0.14319008, amount=0.00029618, maker_side=buy, created_at=2018-06-03 07:51:24+00:00)
Trade(tid=7687968, price=0.14399900, amount=0.34540141, maker_side=sell, created_at=2018-06-03 08:45:07+00:00)
Trade(tid=7687970, price=0.14400000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 08:45:19+00:00)
Trade(tid=7687971, price=0.14400000, amount=0.00099750, maker_side=sell, created_at=2018-06-03 08:45:19+00:00)
Trade(tid=7688272, price=0.14409000, amount=0.03015521, maker_side=buy, created_at=2018-06-03 11:03:22+00:00)
Trade(tid=7688283, price=0.14422000, amount=0.00141823, maker_side=buy, created_at=2018-06-03 11:12:28+00:00)
Trade(tid=7688318, price=0.14440000, amount=0.22442650, maker_side=sell, created_at=2018-06-03 11:39:31+00:00)
Trade(tid=7688319, price=0.14499000, amount=3.44851370, maker_side=sell, created_at=2018-06-03 11:39:31+00:00)
Trade(tid=7688320, price=0.14500000, amount=0.15505073, maker_side=sell, created_at=2018-06-03 11:39:31+00:00)
Trade(tid=7688321, price=0.14500000, amount=0.35624994, maker_side=sell, created_at=2018-06-03 11:39:31+00:00)
Trade(tid=7688322, price=0.14500000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 11:39:31+00:00)
Trade(tid=7688323, price=0.14500000, amount=0.00099750, maker_side=sell, created_at=2018-06-03 11:39:31+00:00)
Trade(tid=7688324, price=0.14500000, amount=0.00838052, maker_side=buy, created_at=2018-06-03 11:39:45+00:00)
Trade(tid=7688334, price=0.14550000, amount=2.00000000, maker_side=sell, created_at=2018-06-03 11:41:03+00:00)
Trade(tid=7688335, price=0.14550000, amount=2.00000000, maker_side=sell, created_at=2018-06-03 11:41:03+00:00)
Trade(tid=7688769, price=0.14600000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 12:27:26+00:00)
Trade(tid=7688771, price=0.14612100, amount=0.13000000, maker_side=sell, created_at=2018-06-03 12:27:54+00:00)
Trade(tid=7688772, price=0.14601000, amount=0.01051925, maker_side=buy, created_at=2018-06-03 12:28:15+00:00)
Trade(tid=7688798, price=0.14612100, amount=0.00333600, maker_side=sell, created_at=2018-06-03 12:31:10+00:00)
Trade(tid=7688800, price=0.14620000, amount=0.00194904, maker_side=buy, created_at=2018-06-03 12:31:53+00:00)
Trade(tid=7688875, price=0.14700000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 12:37:00+00:00)
Trade(tid=7688876, price=0.14700000, amount=0.00803302, maker_side=buy, created_at=2018-06-03 12:37:11+00:00)
Trade(tid=7689090, price=0.14750000, amount=0.01240835, maker_side=sell, created_at=2018-06-03 13:02:55+00:00)
Trade(tid=7689093, price=0.14753000, amount=0.00510150, maker_side=buy, created_at=2018-06-03 13:04:29+00:00)
Trade(tid=7689191, price=0.14800000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 13:16:24+00:00)
Trade(tid=7689192, price=0.14857000, amount=0.00091389, maker_side=sell, created_at=2018-06-03 13:16:24+00:00)
Trade(tid=7689193, price=0.14881000, amount=0.31855533, maker_side=sell, created_at=2018-06-03 13:16:24+00:00)
Trade(tid=7689194, price=0.14881000, amount=0.01214317, maker_side=buy, created_at=2018-06-03 13:16:28+00:00)
Trade(tid=7689195, price=0.14881000, amount=0.13001757, maker_side=buy, created_at=2018-06-03 13:16:47+00:00)
Trade(tid=7689207, price=0.14900000, amount=0.00078194, maker_side=sell, created_at=2018-06-03 13:20:23+00:00)
Trade(tid=7689208, price=0.14900000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 13:20:23+00:00)
Trade(tid=7689209, price=0.14920000, amount=0.51839479, maker_side=sell, created_at=2018-06-03 13:20:23+00:00)
Trade(tid=7689213, price=0.14921000, amount=0.00369035, maker_side=buy, created_at=2018-06-03 13:21:37+00:00)
Trade(tid=7689424, price=0.14949000, amount=0.00066895, maker_side=sell, created_at=2018-06-03 13:53:48+00:00)
Trade(tid=7689425, price=0.14950000, amount=0.50872500, maker_side=sell, created_at=2018-06-03 13:53:48+00:00)
Trade(tid=7689426, price=0.14970000, amount=0.02522592, maker_side=sell, created_at=2018-06-03 13:53:48+00:00)
Trade(tid=7689764, price=0.14969999, amount=0.03021363, maker_side=sell, created_at=2018-06-03 14:17:47+00:00)
Trade(tid=7690253, price=0.14970000, amount=0.04756126, maker_side=sell, created_at=2018-06-03 14:56:15+00:00)
Trade(tid=7690256, price=0.14970000, amount=0.10598250, maker_side=sell, created_at=2018-06-03 14:56:17+00:00)
Trade(tid=7690291, price=0.14970000, amount=1.00000000, maker_side=sell, created_at=2018-06-03 14:58:10+00:00)
Trade(tid=7690300, price=0.14970000, amount=2.87880784, maker_side=sell, created_at=2018-06-03 14:59:00+00:00)
Trade(tid=7690365, price=0.14970000, amount=0.24837909, maker_side=sell, created_at=2018-06-03 15:06:33+00:00)
Trade(tid=7690367, price=0.14970000, amount=0.01241897, maker_side=sell, created_at=2018-06-03 15:06:35+00:00)
Trade(tid=7690369, price=0.14970000, amount=0.20154542, maker_side=sell, created_at=2018-06-03 15:06:39+00:00)
Trade(tid=7690370, price=0.14970000, amount=0.01007729, maker_side=sell, created_at=2018-06-03 15:06:40+00:00)
Trade(tid=7690509, price=0.14970000, amount=0.00385458, maker_side=sell, created_at=2018-06-03 15:20:44+00:00)
Trade(tid=7690700, price=0.14970000, amount=0.21593995, maker_side=sell, created_at=2018-06-03 15:34:08+00:00)
Trade(tid=7690763, price=0.14970000, amount=0.05455271, maker_side=sell, created_at=2018-06-03 15:40:05+00:00)
Trade(tid=7690826, price=0.14970000, amount=0.07803053, maker_side=sell, created_at=2018-06-03 15:45:06+00:00)
Trade(tid=7690827, price=0.14987000, amount=0.00066725, maker_side=sell, created_at=2018-06-03 15:45:06+00:00)
Trade(tid=7690828, price=0.15000000, amount=0.00100000, maker_side=sell, created_at=2018-06-03 15:45:06+00:00)
Trade(tid=7690829, price=0.15000000, amount=0.00830907, maker_side=sell, created_at=2018-06-03 15:45:06+00:00)
Trade(tid=7690830, price=0.15000000, amount=0.00300000, maker_side=sell, created_at=2018-06-03 15:45:06+00:00)
Trade(tid=7690831, price=0.15000000, amount=0.28153113, maker_side=sell, created_at=2018-06-03 15:45:06+00:00)
Trade(tid=7690837, price=0.15010000, amount=0.91989450, maker_side=sell, created_at=2018-06-03 15:45:25+00:00)
Trade(tid=7690838, price=0.15100000, amount=0.00097781, maker_side=sell, created_at=2018-06-03 15:45:25+00:00)
Trade(tid=7691123, price=0.15117000, amount=0.00149689, maker_side=buy, created_at=2018-06-03 16:07:14+00:00)
Trade(tid=7691141, price=0.15119000, amount=0.00031180, maker_side=buy, created_at=2018-06-03 16:08:25+00:00)
Trade(tid=7691166, price=0.15169089, amount=0.00134264, maker_side=sell, created_at=2018-06-03 16:09:54+00:00)
Trade(tid=7691843, price=0.15131000, amount=0.02480600, maker_side=buy, created_at=2018-06-03 16:50:27+00:00)
Trade(tid=7691968, price=0.15130999, amount=0.01822500, maker_side=sell, created_at=2018-06-03 16:56:34+00:00)
Trade(tid=7691970, price=0.15131000, amount=0.05448700, maker_side=sell, created_at=2018-06-03 16:56:39+00:00)
Trade(tid=7691971, price=0.15131000, amount=0.03027012, maker_side=sell, created_at=2018-06-03 16:56:48+00:00)
Trade(tid=7692094, price=0.15130999, amount=0.00046242, maker_side=buy, created_at=2018-06-03 17:09:35+00:00)
Trade(tid=7692272, price=0.15130999, amount=0.08131258, maker_side=buy, created_at=2018-06-03 17:21:10+00:00)
