Trade(tid=7690916, price=23650.85, amount=0.00810915, maker_side=sell, created_at=2018-06-03 15:50:05+00:00)
Trade(tid=7691005, price=23650.90, amount=0.66021590, maker_side=sell, created_at=2018-06-03 15:58:44+00:00)
Trade(tid=7691012, price=23650.90, amount=0.00418589, maker_side=sell, created_at=2018-06-03 16:00:07+00:00)
Trade(tid=7691014, price=23650.90, amount=0.16574719, maker_side=sell, created_at=2018-06-03 16:00:16+00:00)
Trade(tid=7691024, price=23650.90, amount=0.01716891, maker_side=sell, created_at=2018-06-03 16:00:50+00:00)
Trade(tid=7691025, price=23650.90, amount=0.21140845, maker_side=sell, created_at=2018-06-03 16:00:51+00:00)
Trade(tid=7691054, price=23510.02, amount=0.00034200, maker_side=buy, created_at=2018-06-03 16:02:42+00:00)
Trade(tid=7691091, price=23650.90, amount=0.01268451, maker_side=sell, created_at=2018-06-03 16:04:57+00:00)
Trade(tid=7691158, price=23650.90, amount=0.87861604, maker_side=sell, created_at=2018-06-03 16:09:50+00:00)
Trade(tid=7691200, price=23511.00, amount=0.04529000, maker_side=buy, created_at=2018-06-03 16:11:52+00:00)
Trade(tid=7691217, price=23650.90, amount=0.32997311, maker_side=sell, created_at=2018-06-03 16:12:46+00:00)
Trade(tid=7691218, price=23777.00, amount=0.04205746, maker_side=sell, created_at=2018-06-03 16:12:46+00:00)
Trade(tid=7691219, price=23778.00, amount=0.60000000, maker_side=sell, created_at=2018-06-03 16:12:46+00:00)
Trade(tid=7691220, price=23780.00, amount=0.08112022, maker_side=sell, created_at=2018-06-03 16:12:46+00:00)
Trade(tid=7691223, price=23511.00, amount=0.01740449, maker_side=buy, created_at=2018-06-03 16:12:55+00:00)
Trade(tid=7691246, price=23511.00, amount=0.00811551, maker_side=sell, created_at=2018-06-03 16:13:56+00:00)
Trade(tid=7691294, price=23511.00, amount=0.03000000, maker_side=buy, created_at=2018-06-03 16:16:13+00:00)
Trade(tid=7691433, price=23779.97, amount=0.04392728, maker_side=sell, created_at=2018-06-03 16:23:53+00:00)
Trade(tid=7691444, price=23780.00, amount=0.25423381, maker_side=sell, created_at=2018-06-03 16:24:35+00:00)
Trade(tid=7691521, price=23779.98, amount=0.62778270, maker_side=buy, created_at=2018-06-03 16:30:18+00:00)
Trade(tid=7691525, price=23779.97, amount=2.94177876, maker_side=buy, created_at=2018-06-03 16:30:37+00:00)
Trade(tid=7691557, price=23779.99, amount=0.10517200, maker_side=sell, created_at=2018-06-03 16:35:06+00:00)
Trade(tid=7691558, price=23779.99, amount=0.03079792, maker_side=sell, created_at=2018-06-03 16:35:06+00:00)
Trade(tid=7691559, price=23899.99, amount=1.78814879, maker_side=sell, created_at=2018-06-03 16:35:06+00:00)
Trade(tid=7691560, price=23780.00, amount=0.16946587, maker_side=sell, created_at=2018-06-03 16:35:06+00:00)
Trade(tid=7691566, price=23899.98, amount=0.12552312, maker_side=sell, created_at=2018-06-03 16:35:46+00:00)
Trade(tid=7691632, price=23512.00, amount=0.00386000, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691633, price=23511.00, amount=0.00441778, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691634, price=23451.00, amount=0.04264211, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691635, price=23450.12, amount=0.01532739, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691636, price=23450.11, amount=0.10665196, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691637, price=23450.11, amount=0.06372081, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691638, price=23450.11, amount=0.03054101, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691639, price=23450.10, amount=0.10878419, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691640, price=23450.10, amount=0.10878419, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691641, price=23450.10, amount=0.10878419, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691642, price=23450.00, amount=1.47889422, maker_side=buy, created_at=2018-06-03 16:39:15+00:00)
Trade(tid=7691989, price=23500.00, amount=0.02127660, maker_side=buy, created_at=2018-06-03 16:57:27+00:00)
Trade(tid=7691990, price=23458.13, amount=0.76656140, maker_side=buy, created_at=2018-06-03 16:57:27+00:00)
Trade(tid=7691992, price=23458.13, amount=0.16913313, maker_side=buy, created_at=2018-06-03 16:57:37+00:00)
Trade(tid=7692044, price=23500.00, amount=0.85106383, maker_side=buy, created_at=2018-06-03 17:03:16+00:00)
Trade(tid=7692051, price=23458.13, amount=1.84000000, maker_side=buy, created_at=2018-06-03 17:04:45+00:00)
Trade(tid=7692053, price=23458.13, amount=0.06536458, maker_side=buy, created_at=2018-06-03 17:05:07+00:00)
Trade(tid=7692105, price=23451.00, amount=0.04264211, maker_side=buy, created_at=2018-06-03 17:10:20+00:00)
Trade(tid=7692106, price=23450.00, amount=1.20767295, maker_side=buy, created_at=2018-06-03 17:10:48+00:00)
Trade(tid=7692118, price=23400.00, amount=4.00000000, maker_side=buy, created_at=2018-06-03 17:11:59+00:00)
Trade(tid=7692121, price=23400.00, amount=4.00000000, maker_side=buy, created_at=2018-06-03 17:12:09+00:00)
Trade(tid=7692129, price=23451.00, amount=0.40665516, maker_side=buy, created_at=2018-06-03 17:12:49+00:00)
