Trade(tid=7692507, price=154746.99, amount=0.06513736, maker_side=buy, created_at=2018-06-03 17:36:21+00:00)
Trade(tid=7692508, price=154746.99, amount=0.00959855, maker_side=buy, created_at=2018-06-03 17:36:23+00:00)
Trade(tid=7692510, price=154746.99, amount=0.00004583, maker_side=buy, created_at=2018-06-03 17:36:27+00:00)
Trade(tid=7692511, price=154300.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:36:27+00:00)
Trade(tid=7692513, price=154300.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:36:50+00:00)
Trade(tid=7692514, price=154300.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:37:12+00:00)
Trade(tid=7692516, price=154298.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:37:33+00:00)
Trade(tid=7692518, price=154298.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:37:53+00:00)
Trade(tid=7692520, price=154298.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:38:13+00:00)
Trade(tid=7692527, price=154298.00, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:38:33+00:00)
Trade(tid=7692528, price=154796.99, amount=0.00094460, maker_side=sell, created_at=2018-06-03 17:38:37+00:00)
Trade(tid=7692529, price=154048.50, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:38:39+00:00)
Trade(tid=7692530, price=153799.00, amount=0.00199995, maker_side=buy, created_at=2018-06-03 17:38:39+00:00)
Trade(tid=7692531, price=153302.61, amount=0.00069399, maker_side=buy, created_at=2018-06-03 17:38:39+00:00)
Trade(tid=7692532, price=153301.00, amount=0.01380611, maker_side=buy, created_at=2018-06-03 17:38:39+00:00)
Trade(tid=7692534, price=154298.33, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:38:51+00:00)
Trade(tid=7692535, price=154794.06, amount=0.00389399, maker_side=sell, created_at=2018-06-03 17:38:52+00:00)
Trade(tid=7692536, price=154796.99, amount=0.00217399, maker_side=sell, created_at=2018-06-03 17:38:52+00:00)
Trade(tid=7692537, price=154800.00, amount=0.02283303, maker_side=sell, created_at=2018-06-03 17:38:52+00:00)
Trade(tid=7692538, price=154800.00, amount=0.00090908, maker_side=sell, created_at=2018-06-03 17:38:52+00:00)
Trade(tid=7692539, price=154893.04, amount=0.00303337, maker_side=sell, created_at=2018-06-03 17:38:52+00:00)
Trade(tid=7692543, price=154359.47, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:39:13+00:00)
Trade(tid=7692552, price=154359.47, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:39:33+00:00)
Trade(tid=7692553, price=154885.69, amount=0.00162399, maker_side=sell, created_at=2018-06-03 17:39:38+00:00)
Trade(tid=7692554, price=154885.77, amount=0.00160420, maker_side=sell, created_at=2018-06-03 17:39:38+00:00)
Trade(tid=7692556, price=154359.47, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:39:50+00:00)
Trade(tid=7692558, price=154333.67, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:40:10+00:00)
Trade(tid=7692560, price=154075.50, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:40:25+00:00)
Trade(tid=7692561, price=153301.00, amount=0.00325836, maker_side=buy, created_at=2018-06-03 17:40:25+00:00)
Trade(tid=7692562, price=153300.01, amount=0.00587784, maker_side=buy, created_at=2018-06-03 17:40:25+00:00)
Trade(tid=7692564, price=154333.34, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:40:35+00:00)
Trade(tid=7692566, price=153300.01, amount=0.00067583, maker_side=buy, created_at=2018-06-03 17:40:48+00:00)
Trade(tid=7692567, price=154075.01, amount=0.00099995, maker_side=sell, created_at=2018-06-03 17:40:51+00:00)
Trade(tid=7692568, price=154075.01, amount=0.00099995, maker_side=sell, created_at=2018-06-03 17:40:52+00:00)
Trade(tid=7692570, price=153300.01, amount=0.10635377, maker_side=buy, created_at=2018-06-03 17:41:05+00:00)
Trade(tid=7692574, price=154075.01, amount=0.00094760, maker_side=sell, created_at=2018-06-03 17:42:34+00:00)
Trade(tid=7692575, price=154075.01, amount=0.00099995, maker_side=sell, created_at=2018-06-03 17:42:44+00:00)
Trade(tid=7692576, price=154075.01, amount=0.00025255, maker_side=sell, created_at=2018-06-03 17:42:45+00:00)
Trade(tid=7692577, price=154075.01, amount=0.00027596, maker_side=sell, created_at=2018-06-03 17:42:45+00:00)
Trade(tid=7692578, price=154333.34, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:43:05+00:00)
Trade(tid=7692579, price=154333.34, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:43:23+00:00)
Trade(tid=7692580, price=154075.01, amount=0.00093516, maker_side=sell, created_at=2018-06-03 17:43:40+00:00)
Trade(tid=7692581, price=154075.01, amount=0.00006479, maker_side=buy, created_at=2018-06-03 17:43:40+00:00)
Trade(tid=7692582, price=153816.67, amount=0.00193521, maker_side=buy, created_at=2018-06-03 17:43:40+00:00)
Trade(tid=7692583, price=154333.34, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:43:42+00:00)
Trade(tid=7692584, price=154333.34, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:44:18+00:00)
Trade(tid=7692585, price=154333.34, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:44:40+00:00)
Trade(tid=7692586, price=154075.01, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:44:49+00:00)
Trade(tid=7692589, price=154072.00, amount=0.00099995, maker_side=sell, created_at=2018-06-03 17:44:56+00:00)
Trade(tid=7692590, price=154072.00, amount=0.00011404, maker_side=sell, created_at=2018-06-03 17:44:56+00:00)
Trade(tid=7692591, price=154075.01, amount=0.00088591, maker_side=sell, created_at=2018-06-03 17:44:56+00:00)
Trade(tid=7692595, price=154072.00, amount=0.00112399, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692596, price=154075.01, amount=0.00460449, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692597, price=154847.40, amount=0.00391399, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692598, price=154850.00, amount=0.03000000, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692599, price=154888.70, amount=0.34015881, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692600, price=154900.00, amount=0.11994122, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692601, price=154915.17, amount=1.45116089, maker_side=sell, created_at=2018-06-03 17:45:12+00:00)
Trade(tid=7692605, price=154433.54, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:45:30+00:00)
Trade(tid=7692606, price=154150.80, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:45:32+00:00)
Trade(tid=7692609, price=154434.42, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:46:09+00:00)
Trade(tid=7692610, price=154152.13, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:46:10+00:00)
Trade(tid=7692611, price=153869.84, amount=0.00096173, maker_side=buy, created_at=2018-06-03 17:46:10+00:00)
Trade(tid=7692614, price=154434.41, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:46:30+00:00)
Trade(tid=7692615, price=154436.42, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:46:48+00:00)
Trade(tid=7692616, price=154435.42, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:47:08+00:00)
Trade(tid=7692619, price=154436.42, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:47:38+00:00)
Trade(tid=7692621, price=154435.42, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:48:04+00:00)
Trade(tid=7692622, price=154153.62, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:48:04+00:00)
Trade(tid=7692623, price=154437.41, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:48:22+00:00)
Trade(tid=7692627, price=154440.25, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:48:56+00:00)
Trade(tid=7692628, price=154160.87, amount=0.00099995, maker_side=buy, created_at=2018-06-03 17:48:56+00:00)
Trade(tid=7692629, price=153882.34, amount=1.0E-7, maker_side=buy, created_at=2018-06-03 17:48:56+00:00)
