Trade(tid=7687760, price=0.07860000, amount=0.00039707, maker_side=sell, created_at=2018-06-03 08:22:59+00:00)
Trade(tid=7687761, price=0.07860000, amount=0.58650188, maker_side=sell, created_at=2018-06-03 08:23:00+00:00)
Trade(tid=7687762, price=0.07893999, amount=0.00088118, maker_side=sell, created_at=2018-06-03 08:23:00+00:00)
Trade(tid=7687763, price=0.07849999, amount=0.81786851, maker_side=sell, created_at=2018-06-03 08:23:03+00:00)
Trade(tid=7687764, price=0.07849999, amount=0.81786851, maker_side=sell, created_at=2018-06-03 08:23:04+00:00)
Trade(tid=7687765, price=0.07849999, amount=0.26426298, maker_side=sell, created_at=2018-06-03 08:23:05+00:00)
Trade(tid=7687766, price=0.07893999, amount=0.00039701, maker_side=sell, created_at=2018-06-03 08:23:05+00:00)
Trade(tid=7687938, price=0.07999999, amount=0.00015025, maker_side=sell, created_at=2018-06-03 08:42:07+00:00)
Trade(tid=7687939, price=0.07990700, amount=0.10000000, maker_side=sell, created_at=2018-06-03 08:42:07+00:00)
Trade(tid=7687942, price=0.08000000, amount=0.27716000, maker_side=sell, created_at=2018-06-03 08:43:32+00:00)
Trade(tid=7687943, price=0.08000000, amount=0.00041638, maker_side=sell, created_at=2018-06-03 08:43:32+00:00)
Trade(tid=7687946, price=0.08000000, amount=0.80248800, maker_side=sell, created_at=2018-06-03 08:43:44+00:00)
Trade(tid=7687947, price=0.08000000, amount=0.08709562, maker_side=sell, created_at=2018-06-03 08:43:45+00:00)
Trade(tid=7687948, price=0.08000000, amount=0.00013088, maker_side=sell, created_at=2018-06-03 08:43:45+00:00)
Trade(tid=7687949, price=0.08000000, amount=0.49986912, maker_side=sell, created_at=2018-06-03 08:43:46+00:00)
Trade(tid=7687950, price=0.08000000, amount=0.00075100, maker_side=sell, created_at=2018-06-03 08:43:46+00:00)
Trade(tid=7687951, price=0.08000000, amount=0.09994122, maker_side=sell, created_at=2018-06-03 08:43:47+00:00)
Trade(tid=7687952, price=0.08000000, amount=0.00015025, maker_side=sell, created_at=2018-06-03 08:43:47+00:00)
Trade(tid=7687953, price=0.08000000, amount=0.80248800, maker_side=sell, created_at=2018-06-03 08:43:49+00:00)
Trade(tid=7687954, price=0.08000000, amount=0.20284968, maker_side=sell, created_at=2018-06-03 08:43:53+00:00)
Trade(tid=7687955, price=0.08002854, amount=0.00030477, maker_side=sell, created_at=2018-06-03 08:43:53+00:00)
Trade(tid=7687956, price=0.08002854, amount=0.09606623, maker_side=sell, created_at=2018-06-03 08:43:54+00:00)
Trade(tid=7687957, price=0.08053199, amount=0.00014441, maker_side=sell, created_at=2018-06-03 08:43:54+00:00)
Trade(tid=7687996, price=0.08069895, amount=0.00044261, maker_side=sell, created_at=2018-06-03 08:50:04+00:00)
Trade(tid=7687997, price=0.08069892, amount=0.00504208, maker_side=sell, created_at=2018-06-03 08:50:45+00:00)
Trade(tid=7688024, price=0.08047891, amount=0.08047917, maker_side=sell, created_at=2018-06-03 09:01:35+00:00)
Trade(tid=7688025, price=0.08047892, amount=0.00012090, maker_side=sell, created_at=2018-06-03 09:01:35+00:00)
Trade(tid=7688102, price=0.08064100, amount=0.14673941, maker_side=sell, created_at=2018-06-03 09:10:43+00:00)
Trade(tid=7688118, price=0.08011201, amount=0.04018124, maker_side=buy, created_at=2018-06-03 09:18:03+00:00)
Trade(tid=7688119, price=0.08011201, amount=0.05506041, maker_side=sell, created_at=2018-06-03 09:18:04+00:00)
Trade(tid=7688120, price=0.08011200, amount=0.14680000, maker_side=buy, created_at=2018-06-03 09:18:31+00:00)
Trade(tid=7688150, price=0.08035000, amount=0.00365837, maker_side=sell, created_at=2018-06-03 09:37:16+00:00)
Trade(tid=7688197, price=0.08018000, amount=0.07793864, maker_side=sell, created_at=2018-06-03 10:11:16+00:00)
Trade(tid=7688274, price=0.07946000, amount=0.08250000, maker_side=buy, created_at=2018-06-03 11:03:44+00:00)
Trade(tid=7688275, price=0.07946000, amount=0.01130470, maker_side=sell, created_at=2018-06-03 11:03:47+00:00)
Trade(tid=7688352, price=0.08019999, amount=0.00024701, maker_side=sell, created_at=2018-06-03 11:52:55+00:00)
Trade(tid=7688353, price=0.08019800, amount=0.16436601, maker_side=sell, created_at=2018-06-03 11:52:55+00:00)
Trade(tid=7688546, price=0.08035800, amount=0.08951231, maker_side=buy, created_at=2018-06-03 12:13:52+00:00)
Trade(tid=7688696, price=0.08035785, amount=0.31209185, maker_side=sell, created_at=2018-06-03 12:19:35+00:00)
Trade(tid=7688773, price=0.08035760, amount=0.36236423, maker_side=sell, created_at=2018-06-03 12:28:50+00:00)
Trade(tid=7689262, price=0.08035627, amount=0.80151232, maker_side=sell, created_at=2018-06-03 13:29:08+00:00)
Trade(tid=7689263, price=0.08035627, amount=0.80151232, maker_side=sell, created_at=2018-06-03 13:29:09+00:00)
Trade(tid=7689264, price=0.08035627, amount=0.29697536, maker_side=sell, created_at=2018-06-03 13:29:10+00:00)
