Trade(tid=7690995, price=12252.43, amount=0.04000000, maker_side=buy, created_at=2018-06-03 15:56:49+00:00)
Trade(tid=7690996, price=12448.75, amount=0.01606587, maker_side=sell, created_at=2018-06-03 15:56:55+00:00)
Trade(tid=7691000, price=12252.43, amount=0.16766767, maker_side=buy, created_at=2018-06-03 15:57:51+00:00)
Trade(tid=7691001, price=12252.44, amount=0.00163233, maker_side=buy, created_at=2018-06-03 15:57:51+00:00)
Trade(tid=7691004, price=12252.43, amount=0.06373085, maker_side=buy, created_at=2018-06-03 15:58:15+00:00)
Trade(tid=7691058, price=12385.36, amount=0.00125633, maker_side=buy, created_at=2018-06-03 16:02:55+00:00)
Trade(tid=7691059, price=12253.27, amount=0.09922154, maker_side=buy, created_at=2018-06-03 16:02:55+00:00)
Trade(tid=7691133, price=12252.00, amount=0.05047185, maker_side=buy, created_at=2018-06-03 16:07:59+00:00)
Trade(tid=7691207, price=12253.28, amount=0.01545158, maker_side=buy, created_at=2018-06-03 16:12:14+00:00)
Trade(tid=7691208, price=12253.31, amount=0.16408332, maker_side=buy, created_at=2018-06-03 16:12:14+00:00)
Trade(tid=7691236, price=12252.00, amount=0.10741745, maker_side=buy, created_at=2018-06-03 16:13:41+00:00)
Trade(tid=7691238, price=12350.00, amount=0.04713880, maker_side=sell, created_at=2018-06-03 16:13:52+00:00)
Trade(tid=7691239, price=12352.43, amount=0.02560000, maker_side=sell, created_at=2018-06-03 16:13:52+00:00)
Trade(tid=7691293, price=12431.44, amount=0.16087206, maker_side=sell, created_at=2018-06-03 16:16:13+00:00)
Trade(tid=7691304, price=12428.79, amount=0.01595891, maker_side=sell, created_at=2018-06-03 16:16:43+00:00)
Trade(tid=7691327, price=12400.02, amount=0.00161290, maker_side=buy, created_at=2018-06-03 16:18:06+00:00)
Trade(tid=7691328, price=12400.01, amount=0.00161290, maker_side=buy, created_at=2018-06-03 16:18:06+00:00)
Trade(tid=7691329, price=12400.00, amount=0.06885420, maker_side=buy, created_at=2018-06-03 16:18:06+00:00)
Trade(tid=7691332, price=12400.00, amount=2.00000000, maker_side=buy, created_at=2018-06-03 16:18:18+00:00)
Trade(tid=7691339, price=12400.00, amount=0.09951837, maker_side=buy, created_at=2018-06-03 16:18:52+00:00)
Trade(tid=7691373, price=12400.00, amount=1.79114670, maker_side=buy, created_at=2018-06-03 16:20:10+00:00)
Trade(tid=7691375, price=12399.57, amount=0.30469940, maker_side=sell, created_at=2018-06-03 16:20:23+00:00)
Trade(tid=7691376, price=12399.60, amount=0.09854015, maker_side=sell, created_at=2018-06-03 16:20:23+00:00)
Trade(tid=7691421, price=12252.00, amount=0.08200000, maker_side=buy, created_at=2018-06-03 16:23:06+00:00)
Trade(tid=7691428, price=12400.00, amount=0.05295000, maker_side=buy, created_at=2018-06-03 16:23:40+00:00)
Trade(tid=7691434, price=12400.00, amount=0.05275601, maker_side=buy, created_at=2018-06-03 16:23:58+00:00)
Trade(tid=7691505, price=12424.60, amount=0.08048549, maker_side=sell, created_at=2018-06-03 16:28:43+00:00)
Trade(tid=7691506, price=12400.00, amount=3.92655206, maker_side=buy, created_at=2018-06-03 16:28:49+00:00)
Trade(tid=7691515, price=12253.00, amount=0.02505508, maker_side=sell, created_at=2018-06-03 16:29:50+00:00)
Trade(tid=7691517, price=12253.00, amount=0.12184772, maker_side=sell, created_at=2018-06-03 16:29:52+00:00)
Trade(tid=7691518, price=12424.56, amount=0.00061230, maker_side=sell, created_at=2018-06-03 16:29:52+00:00)
Trade(tid=7691519, price=12424.56, amount=0.12246002, maker_side=sell, created_at=2018-06-03 16:29:54+00:00)
Trade(tid=7691524, price=12400.00, amount=4.03225807, maker_side=buy, created_at=2018-06-03 16:30:34+00:00)
