Trade(tid=7685634, price=0.01602706, amount=0.10537197, maker_side=buy, created_at=2018-06-02 23:27:09+00:00)
Trade(tid=7685653, price=0.01602712, amount=0.40000000, maker_side=buy, created_at=2018-06-02 23:30:58+00:00)
Trade(tid=7686000, price=0.01601400, amount=0.12039177, maker_side=buy, created_at=2018-06-03 00:07:40+00:00)
Trade(tid=7686096, price=0.01606201, amount=2.80000000, maker_side=buy, created_at=2018-06-03 00:31:53+00:00)
Trade(tid=7686097, price=0.01606200, amount=0.59081000, maker_side=sell, created_at=2018-06-03 00:31:56+00:00)
Trade(tid=7686098, price=0.01606200, amount=0.40354000, maker_side=sell, created_at=2018-06-03 00:32:09+00:00)
Trade(tid=7686100, price=0.01606200, amount=0.08106100, maker_side=sell, created_at=2018-06-03 00:32:31+00:00)
Trade(tid=7686104, price=0.01606200, amount=0.72224000, maker_side=sell, created_at=2018-06-03 00:33:57+00:00)
Trade(tid=7686118, price=0.01606199, amount=0.11060273, maker_side=sell, created_at=2018-06-03 00:37:33+00:00)
Trade(tid=7686143, price=0.01606200, amount=4.04904371, maker_side=sell, created_at=2018-06-03 00:42:41+00:00)
Trade(tid=7686180, price=0.01606200, amount=0.58778390, maker_side=sell, created_at=2018-06-03 00:50:11+00:00)
Trade(tid=7686181, price=0.01610001, amount=0.00147329, maker_side=sell, created_at=2018-06-03 00:50:11+00:00)
Trade(tid=7686301, price=0.01604600, amount=0.34450000, maker_side=buy, created_at=2018-06-03 01:21:05+00:00)
Trade(tid=7686302, price=0.01604502, amount=0.07242000, maker_side=buy, created_at=2018-06-03 01:21:05+00:00)
Trade(tid=7686426, price=0.01610000, amount=0.21605359, maker_side=sell, created_at=2018-06-03 01:46:03+00:00)
Trade(tid=7686427, price=0.01610001, amount=6.2E-7, maker_side=sell, created_at=2018-06-03 01:46:03+00:00)
Trade(tid=7686744, price=0.01598402, amount=0.19362574, maker_side=buy, created_at=2018-06-03 03:10:33+00:00)
Trade(tid=7686842, price=0.01597102, amount=0.10490000, maker_side=buy, created_at=2018-06-03 03:30:59+00:00)
Trade(tid=7686923, price=0.01597108, amount=0.18958080, maker_side=buy, created_at=2018-06-03 04:01:26+00:00)
Trade(tid=7686924, price=0.01597108, amount=0.43829222, maker_side=buy, created_at=2018-06-03 04:01:26+00:00)
Trade(tid=7686925, price=0.01595000, amount=1.00000000, maker_side=buy, created_at=2018-06-03 04:01:26+00:00)
Trade(tid=7686926, price=0.01594101, amount=0.75107604, maker_side=buy, created_at=2018-06-03 04:01:26+00:00)
Trade(tid=7686984, price=0.01596800, amount=0.01539400, maker_side=buy, created_at=2018-06-03 04:23:54+00:00)
Trade(tid=7686985, price=0.01591501, amount=1.67302689, maker_side=buy, created_at=2018-06-03 04:23:54+00:00)
Trade(tid=7686992, price=0.01609999, amount=0.03105592, maker_side=sell, created_at=2018-06-03 04:29:48+00:00)
Trade(tid=7687056, price=0.01609999, amount=0.43478300, maker_side=sell, created_at=2018-06-03 04:49:00+00:00)
Trade(tid=7687057, price=0.01609999, amount=0.26510217, maker_side=sell, created_at=2018-06-03 04:49:00+00:00)
Trade(tid=7687058, price=0.01610000, amount=6.2E-7, maker_side=sell, created_at=2018-06-03 04:49:00+00:00)
Trade(tid=7687061, price=0.01610000, amount=0.62620062, maker_side=sell, created_at=2018-06-03 04:49:13+00:00)
Trade(tid=7687363, price=0.01601000, amount=0.20208000, maker_side=buy, created_at=2018-06-03 06:48:53+00:00)
Trade(tid=7687364, price=0.01600902, amount=2.79792000, maker_side=buy, created_at=2018-06-03 06:48:53+00:00)
Trade(tid=7687522, price=0.01603200, amount=0.15653000, maker_side=buy, created_at=2018-06-03 07:13:04+00:00)
Trade(tid=7687523, price=0.01603101, amount=0.62379100, maker_side=buy, created_at=2018-06-03 07:13:04+00:00)
Trade(tid=7687524, price=0.01603001, amount=2.80000000, maker_side=buy, created_at=2018-06-03 07:13:04+00:00)
Trade(tid=7687525, price=0.01603000, amount=0.24665740, maker_side=sell, created_at=2018-06-03 07:13:05+00:00)
Trade(tid=7687526, price=0.01609990, amount=0.00061864, maker_side=sell, created_at=2018-06-03 07:13:05+00:00)
Trade(tid=7687614, price=0.01605000, amount=0.11311000, maker_side=buy, created_at=2018-06-03 07:38:04+00:00)
Trade(tid=7687615, price=0.01604902, amount=0.09616236, maker_side=buy, created_at=2018-06-03 07:38:04+00:00)
Trade(tid=7687616, price=0.01604901, amount=1.79072764, maker_side=buy, created_at=2018-06-03 07:38:04+00:00)
Trade(tid=7687657, price=0.01609990, amount=0.99938136, maker_side=sell, created_at=2018-06-03 07:51:07+00:00)
Trade(tid=7687658, price=0.01610000, amount=0.00250497, maker_side=sell, created_at=2018-06-03 07:51:07+00:00)
Trade(tid=7687659, price=0.01610000, amount=2.49585675, maker_side=sell, created_at=2018-06-03 07:51:08+00:00)
Trade(tid=7687660, price=0.01610001, amount=0.00052911, maker_side=sell, created_at=2018-06-03 07:51:08+00:00)
Trade(tid=7687661, price=0.01610200, amount=0.00572662, maker_side=sell, created_at=2018-06-03 07:51:08+00:00)
Trade(tid=7687730, price=0.01610200, amount=0.10775273, maker_side=sell, created_at=2018-06-03 08:20:14+00:00)
Trade(tid=7687731, price=0.01619900, amount=6.2E-7, maker_side=sell, created_at=2018-06-03 08:20:14+00:00)
Trade(tid=7687842, price=0.01619900, amount=0.09974938, maker_side=sell, created_at=2018-06-03 08:36:00+00:00)
Trade(tid=7687843, price=0.01619998, amount=0.00025000, maker_side=sell, created_at=2018-06-03 08:36:00+00:00)
Trade(tid=7687844, price=0.01619998, amount=1.31069778, maker_side=sell, created_at=2018-06-03 08:36:02+00:00)
Trade(tid=7687845, price=0.01620000, amount=0.04266576, maker_side=sell, created_at=2018-06-03 08:36:03+00:00)
Trade(tid=7687846, price=0.01624990, amount=0.09975000, maker_side=sell, created_at=2018-06-03 08:36:03+00:00)
Trade(tid=7687847, price=0.01624997, amount=0.00035754, maker_side=sell, created_at=2018-06-03 08:36:03+00:00)
Trade(tid=7687848, price=0.01624997, amount=0.89810013, maker_side=sell, created_at=2018-06-03 08:36:05+00:00)
Trade(tid=7687849, price=0.01625000, amount=0.00225108, maker_side=sell, created_at=2018-06-03 08:36:05+00:00)
Trade(tid=7687850, price=0.01625000, amount=3.95212677, maker_side=sell, created_at=2018-06-03 08:36:06+00:00)
Trade(tid=7687851, price=0.01625000, amount=3.95212677, maker_side=sell, created_at=2018-06-03 08:36:07+00:00)
Trade(tid=7687852, price=0.01625000, amount=3.95212677, maker_side=sell, created_at=2018-06-03 08:36:10+00:00)
Trade(tid=7687853, price=0.01625000, amount=2.80000000, maker_side=sell, created_at=2018-06-03 08:36:11+00:00)
Trade(tid=7687854, price=0.01625000, amount=3.95212677, maker_side=sell, created_at=2018-06-03 08:36:12+00:00)
Trade(tid=7687855, price=0.01625000, amount=3.95466031, maker_side=sell, created_at=2018-06-03 08:36:16+00:00)
Trade(tid=7687856, price=0.01625000, amount=0.27595631, maker_side=sell, created_at=2018-06-03 08:36:18+00:00)
Trade(tid=7687857, price=0.01625000, amount=0.15495071, maker_side=sell, created_at=2018-06-03 08:36:20+00:00)
Trade(tid=7687858, price=0.01630000, amount=0.00038834, maker_side=sell, created_at=2018-06-03 08:36:20+00:00)
Trade(tid=7687859, price=0.01630000, amount=0.99961166, maker_side=sell, created_at=2018-06-03 08:36:20+00:00)
Trade(tid=7687860, price=0.01634880, amount=0.00250538, maker_side=sell, created_at=2018-06-03 08:36:20+00:00)
Trade(tid=7687905, price=0.01634880, amount=0.03956096, maker_side=sell, created_at=2018-06-03 08:39:38+00:00)
Trade(tid=7687906, price=0.01634989, amount=0.28019506, maker_side=sell, created_at=2018-06-03 08:39:38+00:00)
Trade(tid=7687907, price=0.01634989, amount=0.00080184, maker_side=sell, created_at=2018-06-03 08:39:38+00:00)
Trade(tid=7688093, price=0.01627800, amount=0.01529800, maker_side=buy, created_at=2018-06-03 09:10:11+00:00)
Trade(tid=7688094, price=0.01627800, amount=0.71355922, maker_side=sell, created_at=2018-06-03 09:10:11+00:00)
Trade(tid=7688095, price=0.01634989, amount=0.00178839, maker_side=sell, created_at=2018-06-03 09:10:11+00:00)
Trade(tid=7688097, price=0.01634989, amount=0.06455308, maker_side=sell, created_at=2018-06-03 09:10:15+00:00)
Trade(tid=7688098, price=0.01637000, amount=0.03152083, maker_side=sell, created_at=2018-06-03 09:10:15+00:00)
Trade(tid=7688099, price=0.01640000, amount=0.61240427, maker_side=sell, created_at=2018-06-03 09:10:15+00:00)
Trade(tid=7688220, price=0.01640000, amount=0.03742237, maker_side=sell, created_at=2018-06-03 10:21:52+00:00)
Trade(tid=7688221, price=0.01640000, amount=0.52589653, maker_side=sell, created_at=2018-06-03 10:21:52+00:00)
Trade(tid=7688222, price=0.01645000, amount=6.1E-7, maker_side=sell, created_at=2018-06-03 10:21:52+00:00)
