Trade(tid=7689457, price=2550.00, amount=0.41568628, maker_side=sell, created_at=2018-06-03 13:58:19+00:00)
Trade(tid=7689633, price=2540.00, amount=0.04092913, maker_side=sell, created_at=2018-06-03 14:10:51+00:00)
Trade(tid=7689638, price=2540.00, amount=0.05402363, maker_side=sell, created_at=2018-06-03 14:10:57+00:00)
Trade(tid=7689656, price=2532.50, amount=0.64956954, maker_side=buy, created_at=2018-06-03 14:12:19+00:00)
Trade(tid=7689657, price=2531.00, amount=0.50000000, maker_side=buy, created_at=2018-06-03 14:12:19+00:00)
Trade(tid=7689658, price=2530.00, amount=0.05043046, maker_side=buy, created_at=2018-06-03 14:12:19+00:00)
Trade(tid=7689678, price=2530.00, amount=0.99500000, maker_side=buy, created_at=2018-06-03 14:12:50+00:00)
Trade(tid=7689700, price=2539.00, amount=0.30000000, maker_side=sell, created_at=2018-06-03 14:13:49+00:00)
Trade(tid=7689774, price=2535.00, amount=0.10000000, maker_side=sell, created_at=2018-06-03 14:18:16+00:00)
Trade(tid=7689775, price=2540.00, amount=0.29370079, maker_side=sell, created_at=2018-06-03 14:18:16+00:00)
Trade(tid=7689806, price=2540.00, amount=0.07874016, maker_side=sell, created_at=2018-06-03 14:20:36+00:00)
Trade(tid=7689853, price=2530.00, amount=0.07388723, maker_side=buy, created_at=2018-06-03 14:23:04+00:00)
Trade(tid=7689919, price=2530.00, amount=0.06645307, maker_side=buy, created_at=2018-06-03 14:29:51+00:00)
Trade(tid=7689920, price=2520.01, amount=0.05476169, maker_side=buy, created_at=2018-06-03 14:29:51+00:00)
Trade(tid=7689921, price=2520.00, amount=0.07878524, maker_side=buy, created_at=2018-06-03 14:29:51+00:00)
Trade(tid=7689961, price=2520.00, amount=0.20573849, maker_side=buy, created_at=2018-06-03 14:34:10+00:00)
Trade(tid=7690095, price=2520.00, amount=0.20327627, maker_side=buy, created_at=2018-06-03 14:43:47+00:00)
Trade(tid=7690096, price=2519.00, amount=0.59872373, maker_side=buy, created_at=2018-06-03 14:43:47+00:00)
Trade(tid=7690135, price=2519.90, amount=0.00438912, maker_side=buy, created_at=2018-06-03 14:46:19+00:00)
Trade(tid=7690172, price=2519.90, amount=0.08279292, maker_side=buy, created_at=2018-06-03 14:50:13+00:00)
Trade(tid=7690183, price=2519.00, amount=0.58061363, maker_side=buy, created_at=2018-06-03 14:50:24+00:00)
Trade(tid=7690186, price=2519.00, amount=0.10401008, maker_side=buy, created_at=2018-06-03 14:50:48+00:00)
Trade(tid=7690191, price=2519.00, amount=0.10000000, maker_side=buy, created_at=2018-06-03 14:51:17+00:00)
Trade(tid=7690265, price=2520.00, amount=0.00536746, maker_side=buy, created_at=2018-06-03 14:57:03+00:00)
Trade(tid=7690324, price=2520.00, amount=0.07000000, maker_side=buy, created_at=2018-06-03 15:01:41+00:00)
Trade(tid=7690486, price=2539.89, amount=1.98118816, maker_side=sell, created_at=2018-06-03 15:17:49+00:00)
Trade(tid=7690514, price=2539.81, amount=0.27561117, maker_side=sell, created_at=2018-06-03 15:20:47+00:00)
Trade(tid=7690603, price=2539.81, amount=0.03937302, maker_side=sell, created_at=2018-06-03 15:25:33+00:00)
Trade(tid=7690623, price=2521.00, amount=0.15961974, maker_side=buy, created_at=2018-06-03 15:26:36+00:00)
Trade(tid=7690638, price=2539.81, amount=0.00393730, maker_side=sell, created_at=2018-06-03 15:27:37+00:00)
Trade(tid=7690646, price=2539.81, amount=0.06693414, maker_side=sell, created_at=2018-06-03 15:28:01+00:00)
Trade(tid=7690680, price=2539.81, amount=0.97543518, maker_side=sell, created_at=2018-06-03 15:31:10+00:00)
Trade(tid=7690706, price=2539.81, amount=0.26647223, maker_side=sell, created_at=2018-06-03 15:35:39+00:00)
Trade(tid=7690707, price=2540.00, amount=0.03260629, maker_side=sell, created_at=2018-06-03 15:35:39+00:00)
Trade(tid=7690708, price=2545.00, amount=0.00338300, maker_side=sell, created_at=2018-06-03 15:35:39+00:00)
Trade(tid=7690709, price=2549.99, amount=0.29481741, maker_side=sell, created_at=2018-06-03 15:35:39+00:00)
Trade(tid=7690791, price=2535.00, amount=0.06257060, maker_side=buy, created_at=2018-06-03 15:42:53+00:00)
Trade(tid=7690845, price=2535.00, amount=0.02490000, maker_side=buy, created_at=2018-06-03 15:45:48+00:00)
Trade(tid=7690850, price=2535.00, amount=0.20136007, maker_side=buy, created_at=2018-06-03 15:46:00+00:00)
Trade(tid=7690937, price=2535.00, amount=0.03964597, maker_side=buy, created_at=2018-06-03 15:51:37+00:00)
Trade(tid=7690993, price=2545.82, amount=0.00471361, maker_side=sell, created_at=2018-06-03 15:56:42+00:00)
Trade(tid=7691002, price=2544.00, amount=0.15618073, maker_side=sell, created_at=2018-06-03 15:58:12+00:00)
Trade(tid=7691003, price=2545.82, amount=7.89563136, maker_side=sell, created_at=2018-06-03 15:58:12+00:00)
Trade(tid=7691007, price=2545.82, amount=0.16378634, maker_side=sell, created_at=2018-06-03 15:59:01+00:00)
Trade(tid=7691008, price=2535.00, amount=0.02152336, maker_side=buy, created_at=2018-06-03 15:59:05+00:00)
Trade(tid=7691009, price=2522.81, amount=0.07927668, maker_side=buy, created_at=2018-06-03 15:59:05+00:00)
Trade(tid=7691010, price=2521.13, amount=0.95880914, maker_side=buy, created_at=2018-06-03 15:59:05+00:00)
Trade(tid=7691011, price=2545.82, amount=0.42697441, maker_side=sell, created_at=2018-06-03 16:00:06+00:00)
Trade(tid=7691085, price=2545.83, amount=0.50000000, maker_side=sell, created_at=2018-06-03 16:04:11+00:00)
Trade(tid=7691086, price=2548.83, amount=0.83120491, maker_side=sell, created_at=2018-06-03 16:04:19+00:00)
Trade(tid=7691095, price=2548.83, amount=0.16879509, maker_side=sell, created_at=2018-06-03 16:05:17+00:00)
Trade(tid=7691096, price=2549.99, amount=1.38411962, maker_side=sell, created_at=2018-06-03 16:05:17+00:00)
Trade(tid=7691097, price=2550.00, amount=0.04708529, maker_side=sell, created_at=2018-06-03 16:05:17+00:00)
Trade(tid=7691110, price=2550.00, amount=0.00394510, maker_side=sell, created_at=2018-06-03 16:06:27+00:00)
Trade(tid=7691157, price=2549.83, amount=0.13726405, maker_side=sell, created_at=2018-06-03 16:09:43+00:00)
Trade(tid=7691211, price=2549.83, amount=0.36273595, maker_side=sell, created_at=2018-06-03 16:12:21+00:00)
Trade(tid=7691212, price=2550.00, amount=1.59807255, maker_side=sell, created_at=2018-06-03 16:12:21+00:00)
Trade(tid=7691299, price=2525.52, amount=5.15370372, maker_side=buy, created_at=2018-06-03 16:16:25+00:00)
Trade(tid=7691319, price=2549.83, amount=0.05000000, maker_side=sell, created_at=2018-06-03 16:17:52+00:00)
Trade(tid=7691320, price=2550.00, amount=0.01459549, maker_side=sell, created_at=2018-06-03 16:17:52+00:00)
Trade(tid=7691393, price=2550.00, amount=15.68627451, maker_side=sell, created_at=2018-06-03 16:21:08+00:00)
Trade(tid=7691423, price=2550.00, amount=3.92155325, maker_side=sell, created_at=2018-06-03 16:23:25+00:00)
Trade(tid=7691490, price=2530.00, amount=0.11917294, maker_side=buy, created_at=2018-06-03 16:27:26+00:00)
Trade(tid=7691509, price=2531.00, amount=0.11853023, maker_side=buy, created_at=2018-06-03 16:29:17+00:00)
Trade(tid=7691510, price=2530.00, amount=0.67134090, maker_side=buy, created_at=2018-06-03 16:29:17+00:00)
Trade(tid=7691511, price=2525.01, amount=1.21012887, maker_side=buy, created_at=2018-06-03 16:29:17+00:00)
Trade(tid=7691581, price=2525.00, amount=0.43564357, maker_side=buy, created_at=2018-06-03 16:36:44+00:00)
Trade(tid=7691603, price=2549.82, amount=0.00400000, maker_side=sell, created_at=2018-06-03 16:37:45+00:00)
Trade(tid=7691631, price=2549.82, amount=0.03921845, maker_side=sell, created_at=2018-06-03 16:39:10+00:00)
Trade(tid=7691755, price=2525.00, amount=0.14740915, maker_side=buy, created_at=2018-06-03 16:45:17+00:00)
Trade(tid=7691912, price=2526.00, amount=0.00791370, maker_side=buy, created_at=2018-06-03 16:54:20+00:00)
Trade(tid=7691913, price=2525.00, amount=0.24032328, maker_side=buy, created_at=2018-06-03 16:54:20+00:00)
Trade(tid=7691964, price=2525.00, amount=0.37662400, maker_side=buy, created_at=2018-06-03 16:56:21+00:00)
Trade(tid=7692030, price=2525.00, amount=0.05209505, maker_side=sell, created_at=2018-06-03 17:00:41+00:00)
Trade(tid=7692062, price=2520.01, amount=0.22456261, maker_side=buy, created_at=2018-06-03 17:06:01+00:00)
Trade(tid=7692063, price=2520.00, amount=1.15479128, maker_side=buy, created_at=2018-06-03 17:06:57+00:00)
Trade(tid=7692109, price=2520.00, amount=0.52040873, maker_side=sell, created_at=2018-06-03 17:10:54+00:00)
Trade(tid=7692145, price=2520.00, amount=0.32479999, maker_side=sell, created_at=2018-06-03 17:14:00+00:00)
Trade(tid=7692146, price=2520.01, amount=0.02590168, maker_side=sell, created_at=2018-06-03 17:14:00+00:00)
Trade(tid=7692147, price=2525.00, amount=3.23318095, maker_side=sell, created_at=2018-06-03 17:14:00+00:00)
Trade(tid=7692148, price=2544.82, amount=5.38429423, maker_side=sell, created_at=2018-06-03 17:14:00+00:00)
Trade(tid=7692260, price=2544.74, amount=0.00392967, maker_side=sell, created_at=2018-06-03 17:20:35+00:00)
Trade(tid=7692295, price=2511.05, amount=0.17845816, maker_side=buy, created_at=2018-06-03 17:22:02+00:00)
Trade(tid=7692318, price=2511.05, amount=0.02151083, maker_side=buy, created_at=2018-06-03 17:23:23+00:00)
Trade(tid=7692336, price=2544.73, amount=0.01196591, maker_side=sell, created_at=2018-06-03 17:24:23+00:00)
Trade(tid=7692398, price=2520.00, amount=0.99500003, maker_side=sell, created_at=2018-06-03 17:28:01+00:00)
Trade(tid=7692399, price=2544.20, amount=0.07915255, maker_side=sell, created_at=2018-06-03 17:28:01+00:00)
Trade(tid=7692523, price=2511.05, amount=0.30003101, maker_side=buy, created_at=2018-06-03 17:38:32+00:00)
Trade(tid=7692524, price=2511.00, amount=0.83236958, maker_side=buy, created_at=2018-06-03 17:38:32+00:00)
Trade(tid=7692525, price=2502.01, amount=0.99919665, maker_side=buy, created_at=2018-06-03 17:38:32+00:00)
Trade(tid=7692526, price=2502.01, amount=0.77951553, maker_side=buy, created_at=2018-06-03 17:38:32+00:00)
Trade(tid=7692540, price=2530.00, amount=0.19762846, maker_side=sell, created_at=2018-06-03 17:38:53+00:00)
Trade(tid=7692557, price=2530.00, amount=0.18873518, maker_side=sell, created_at=2018-06-03 17:40:00+00:00)
Trade(tid=7692573, price=2502.01, amount=0.14612612, maker_side=buy, created_at=2018-06-03 17:41:58+00:00)
Trade(tid=7692587, price=2530.00, amount=0.14363636, maker_side=sell, created_at=2018-06-03 17:44:56+00:00)
Trade(tid=7692588, price=2539.75, amount=2.27486564, maker_side=sell, created_at=2018-06-03 17:44:56+00:00)
Trade(tid=7692602, price=2539.74, amount=0.98434900, maker_side=sell, created_at=2018-06-03 17:45:17+00:00)
Trade(tid=7692603, price=2539.74, amount=0.93086512, maker_side=sell, created_at=2018-06-03 17:45:17+00:00)
Trade(tid=7692604, price=2539.74, amount=2.88190765, maker_side=sell, created_at=2018-06-03 17:45:17+00:00)
Trade(tid=7692620, price=2540.00, amount=0.39370079, maker_side=sell, created_at=2018-06-03 17:47:44+00:00)
Trade(tid=7692715, price=2530.19, amount=0.39522724, maker_side=buy, created_at=2018-06-03 18:07:26+00:00)
Trade(tid=7692757, price=2544.19, amount=0.02565453, maker_side=sell, created_at=2018-06-03 18:14:12+00:00)
Trade(tid=7692766, price=2544.18, amount=0.19910934, maker_side=sell, created_at=2018-06-03 18:14:44+00:00)
Trade(tid=7692762, price=2544.19, amount=0.14937957, maker_side=sell, created_at=2018-06-03 18:14:23+00:00)
Trade(tid=7692766, price=2544.18, amount=0.19910934, maker_side=sell, created_at=2018-06-03 18:14:44+00:00)
Trade(tid=7692769, price=2544.17, amount=0.05895832, maker_side=sell, created_at=2018-06-03 18:16:31+00:00)
Trade(tid=7692780, price=2505.01, amount=0.71069021, maker_side=buy, created_at=2018-06-03 18:17:07+00:00)
Trade(tid=7692779, price=2505.02, amount=0.70833367, maker_side=buy, created_at=2018-06-03 18:17:07+00:00)
Trade(tid=7692777, price=2505.04, amount=1.99597612, maker_side=buy, created_at=2018-06-03 18:17:07+00:00)
Trade(tid=7692780, price=2505.01, amount=0.71069021, maker_side=buy, created_at=2018-06-03 18:17:07+00:00)
Trade(tid=7692779, price=2505.02, amount=0.70833367, maker_side=buy, created_at=2018-06-03 18:17:07+00:00)
Trade(tid=7692780, price=2505.01, amount=0.71069021, maker_side=buy, created_at=2018-06-03 18:17:07+00:00)
Trade(tid=7692803, price=2505.01, amount=0.67279617, maker_side=buy, created_at=2018-06-03 18:20:05+00:00)
Trade(tid=7692802, price=2505.01, amount=0.28730980, maker_side=buy, created_at=2018-06-03 18:20:05+00:00)
Trade(tid=7692801, price=2506.00, amount=0.53312052, maker_side=buy, created_at=2018-06-03 18:20:05+00:00)
Trade(tid=7692803, price=2505.01, amount=0.67279617, maker_side=buy, created_at=2018-06-03 18:20:05+00:00)
Trade(tid=7692802, price=2505.01, amount=0.28730980, maker_side=buy, created_at=2018-06-03 18:20:05+00:00)
Trade(tid=7692803, price=2505.01, amount=0.67279617, maker_side=buy, created_at=2018-06-03 18:20:05+00:00)
Trade(tid=7692844, price=2541.00, amount=0.00300000, maker_side=sell, created_at=2018-06-03 18:30:34+00:00)
Trade(tid=7692845, price=2541.00, amount=0.01313538, maker_side=buy, created_at=2018-06-03 18:30:59+00:00)
Trade(tid=7692869, price=2539.82, amount=0.15845611, maker_side=sell, created_at=2018-06-03 18:36:07+00:00)
Trade(tid=7692871, price=2539.80, amount=0.20222065, maker_side=sell, created_at=2018-06-03 18:36:39+00:00)
Trade(tid=7692893, price=2505.02, amount=1.43000000, maker_side=buy, created_at=2018-06-03 18:38:53+00:00)
Trade(tid=7692914, price=2539.80, amount=0.02458855, maker_side=sell, created_at=2018-06-03 18:42:02+00:00)
Trade(tid=7692928, price=2505.02, amount=0.08430000, maker_side=buy, created_at=2018-06-03 18:44:25+00:00)
Trade(tid=7692952, price=2505.00, amount=0.21830739, maker_side=buy, created_at=2018-06-03 18:46:20+00:00)
Trade(tid=7692944, price=2505.02, amount=0.48169205, maker_side=buy, created_at=2018-06-03 18:46:06+00:00)
Trade(tid=7692955, price=2505.01, amount=0.25493400, maker_side=buy, created_at=2018-06-03 18:46:28+00:00)
Trade(tid=7692952, price=2505.00, amount=0.21830739, maker_side=buy, created_at=2018-06-03 18:46:20+00:00)
Trade(tid=7692955, price=2505.01, amount=0.25493400, maker_side=buy, created_at=2018-06-03 18:46:28+00:00)
Trade(tid=7693001, price=2502.00, amount=3.19744205, maker_side=buy, created_at=2018-06-03 18:48:25+00:00)
Trade(tid=7692998, price=2505.00, amount=0.38169261, maker_side=buy, created_at=2018-06-03 18:48:22+00:00)
Trade(tid=7693001, price=2502.00, amount=3.19744205, maker_side=buy, created_at=2018-06-03 18:48:25+00:00)
Trade(tid=7693031, price=2500.05, amount=0.45984681, maker_side=buy, created_at=2018-06-03 18:50:45+00:00)
Trade(tid=7693043, price=2500.05, amount=0.61196376, maker_side=sell, created_at=2018-06-03 18:51:42+00:00)
Trade(tid=7693044, price=2500.05, amount=0.39728788, maker_side=sell, created_at=2018-06-03 18:52:03+00:00)
Trade(tid=7693056, price=2529.59, amount=0.00948770, maker_side=sell, created_at=2018-06-03 18:54:44+00:00)
