Trade(tid=7687063, price=0.00008334, amount=1.52615300, maker_side=buy, created_at=2018-06-03 04:50:12+00:00)
Trade(tid=7687099, price=0.00008440, amount=62.17393365, maker_side=sell, created_at=2018-06-03 05:20:15+00:00)
Trade(tid=7687142, price=0.00008356, amount=0.00981500, maker_side=buy, created_at=2018-06-03 05:47:34+00:00)
Trade(tid=7687182, price=0.00008440, amount=119.12144550, maker_side=sell, created_at=2018-06-03 06:13:07+00:00)
Trade(tid=7687187, price=0.00008334, amount=0.82364100, maker_side=buy, created_at=2018-06-03 06:16:48+00:00)
Trade(tid=7687384, price=0.00008440, amount=3.52444567, maker_side=sell, created_at=2018-06-03 06:58:29+00:00)
Trade(tid=7687385, price=0.00008440, amount=1.18483500, maker_side=sell, created_at=2018-06-03 06:58:29+00:00)
Trade(tid=7687406, price=0.00008441, amount=9.98000000, maker_side=sell, created_at=2018-06-03 07:03:48+00:00)
Trade(tid=7687407, price=0.00008441, amount=75.56330100, maker_side=buy, created_at=2018-06-03 07:04:01+00:00)
Trade(tid=7687649, price=0.00008440, amount=701.94398500, maker_side=sell, created_at=2018-06-03 07:49:36+00:00)
Trade(tid=7687650, price=0.00008450, amount=1.75928994, maker_side=sell, created_at=2018-06-03 07:49:36+00:00)
Trade(tid=7687728, price=0.00008401, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:19:31+00:00)
Trade(tid=7687733, price=0.00008406, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:20:17+00:00)
Trade(tid=7687745, price=0.00008406, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:22:18+00:00)
Trade(tid=7687748, price=0.00008406, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:22:25+00:00)
Trade(tid=7687767, price=0.00008409, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:23:20+00:00)
Trade(tid=7687770, price=0.00008411, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:23:59+00:00)
Trade(tid=7687772, price=0.00008414, amount=20.00000000, maker_side=buy, created_at=2018-06-03 08:24:54+00:00)
Trade(tid=7687773, price=0.00008417, amount=10.00000000, maker_side=buy, created_at=2018-06-03 08:25:33+00:00)
Trade(tid=7687774, price=0.00008417, amount=15.00000000, maker_side=buy, created_at=2018-06-03 08:25:42+00:00)
Trade(tid=7687776, price=0.00008421, amount=17.00000000, maker_side=buy, created_at=2018-06-03 08:26:36+00:00)
Trade(tid=7687779, price=0.00008426, amount=26.00000000, maker_side=buy, created_at=2018-06-03 08:27:20+00:00)
Trade(tid=7687783, price=0.00008430, amount=15.00000000, maker_side=buy, created_at=2018-06-03 08:28:12+00:00)
