Trade(tid=7691880, price=13.31, amount=37.18140900, maker_side=buy, created_at=2018-06-03 16:52:33+00:00)
Trade(tid=7691903, price=13.31, amount=12.81859100, maker_side=buy, created_at=2018-06-03 16:54:11+00:00)
Trade(tid=7691904, price=13.30, amount=233.08270700, maker_side=buy, created_at=2018-06-03 16:54:11+00:00)
Trade(tid=7691905, price=13.30, amount=3.03909800, maker_side=buy, created_at=2018-06-03 16:54:11+00:00)
Trade(tid=7691906, price=13.30, amount=10.00000000, maker_side=buy, created_at=2018-06-03 16:54:11+00:00)
Trade(tid=7691907, price=13.30, amount=2.25564000, maker_side=buy, created_at=2018-06-03 16:54:11+00:00)
Trade(tid=7691908, price=13.30, amount=98.96460900, maker_side=buy, created_at=2018-06-03 16:54:11+00:00)
Trade(tid=7691924, price=13.30, amount=51.41133100, maker_side=buy, created_at=2018-06-03 16:54:50+00:00)
Trade(tid=7691925, price=13.30, amount=25.63909800, maker_side=buy, created_at=2018-06-03 16:54:50+00:00)
Trade(tid=7691926, price=13.30, amount=11.27819600, maker_side=buy, created_at=2018-06-03 16:54:50+00:00)
Trade(tid=7691939, price=13.30, amount=65.86466165, maker_side=sell, created_at=2018-06-03 16:55:46+00:00)
Trade(tid=7691940, price=13.29, amount=75.24454500, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691941, price=13.28, amount=34.57530200, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691942, price=13.28, amount=338.85542200, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691943, price=13.28, amount=100.00000000, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691944, price=13.28, amount=2.56852500, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691945, price=13.28, amount=34.57530200, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691946, price=13.27, amount=19.59306800, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691947, price=13.27, amount=236.47324800, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691948, price=13.27, amount=20.34664700, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691949, price=13.26, amount=22.82353000, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691950, price=13.25, amount=377.35849100, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691951, price=13.25, amount=0.50000000, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691952, price=13.25, amount=1133.59169900, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691953, price=13.25, amount=1509.43396300, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691954, price=13.25, amount=52.83018900, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691955, price=13.25, amount=4000.00000000, maker_side=buy, created_at=2018-06-03 16:55:47+00:00)
Trade(tid=7691960, price=13.25, amount=1886.79245300, maker_side=sell, created_at=2018-06-03 16:56:04+00:00)
Trade(tid=7691972, price=13.25, amount=1886.79245300, maker_side=sell, created_at=2018-06-03 16:56:49+00:00)
Trade(tid=7691976, price=13.23, amount=47.96040000, maker_side=buy, created_at=2018-06-03 16:56:52+00:00)
Trade(tid=7691982, price=13.23, amount=17187.58114600, maker_side=buy, created_at=2018-06-03 16:57:09+00:00)
Trade(tid=7692004, price=13.24, amount=1000.00000000, maker_side=buy, created_at=2018-06-03 16:58:13+00:00)
Trade(tid=7692006, price=13.24, amount=0.75528800, maker_side=buy, created_at=2018-06-03 16:58:36+00:00)
Trade(tid=7692025, price=13.26, amount=10.00000000, maker_side=buy, created_at=2018-06-03 17:00:16+00:00)
Trade(tid=7692026, price=13.30, amount=0.40676692, maker_side=sell, created_at=2018-06-03 17:00:24+00:00)
Trade(tid=7692041, price=13.26, amount=200.00000000, maker_side=buy, created_at=2018-06-03 17:02:42+00:00)
Trade(tid=7692046, price=13.26, amount=2.00000000, maker_side=buy, created_at=2018-06-03 17:03:27+00:00)
Trade(tid=7692057, price=13.30, amount=7.51879700, maker_side=sell, created_at=2018-06-03 17:05:08+00:00)
Trade(tid=7692073, price=13.26, amount=165.07390700, maker_side=buy, created_at=2018-06-03 17:08:41+00:00)
Trade(tid=7692074, price=13.25, amount=226.41509500, maker_side=buy, created_at=2018-06-03 17:08:41+00:00)
Trade(tid=7692075, price=13.25, amount=756.07245300, maker_side=buy, created_at=2018-06-03 17:08:41+00:00)
Trade(tid=7692076, price=13.23, amount=68.02721100, maker_side=buy, created_at=2018-06-03 17:08:41+00:00)
Trade(tid=7692077, price=13.23, amount=30634.41133400, maker_side=buy, created_at=2018-06-03 17:08:41+00:00)
Trade(tid=7692078, price=13.22, amount=100.00000000, maker_side=buy, created_at=2018-06-03 17:08:49+00:00)
Trade(tid=7692090, price=13.22, amount=120.00000000, maker_side=buy, created_at=2018-06-03 17:09:21+00:00)
Trade(tid=7692092, price=13.22, amount=136.51824400, maker_side=buy, created_at=2018-06-03 17:09:27+00:00)
Trade(tid=7692093, price=13.22, amount=160.47882800, maker_side=buy, created_at=2018-06-03 17:09:27+00:00)
Trade(tid=7692103, price=13.29, amount=38.37471800, maker_side=sell, created_at=2018-06-03 17:10:13+00:00)
Trade(tid=7692104, price=13.30, amount=36.84210510, maker_side=sell, created_at=2018-06-03 17:10:13+00:00)
Trade(tid=7692167, price=13.23, amount=755.85789900, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692168, price=13.22, amount=2108.81012900, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692169, price=13.21, amount=475.61398300, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692170, price=13.20, amount=0.50000000, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692171, price=13.20, amount=2400.00000000, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692172, price=13.20, amount=1.00757600, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692173, price=13.20, amount=10258.21041300, maker_side=buy, created_at=2018-06-03 17:17:08+00:00)
Trade(tid=7692186, price=13.20, amount=1105.42595100, maker_side=buy, created_at=2018-06-03 17:18:24+00:00)
Trade(tid=7692187, price=13.20, amount=7.57575800, maker_side=buy, created_at=2018-06-03 17:18:24+00:00)
Trade(tid=7692188, price=13.20, amount=50.40322600, maker_side=buy, created_at=2018-06-03 17:18:24+00:00)
Trade(tid=7692189, price=13.20, amount=3568.72197000, maker_side=buy, created_at=2018-06-03 17:18:24+00:00)
Trade(tid=7692200, price=13.19, amount=588.69901500, maker_side=buy, created_at=2018-06-03 17:19:10+00:00)
Trade(tid=7692201, price=13.19, amount=151.63002300, maker_side=buy, created_at=2018-06-03 17:19:10+00:00)
Trade(tid=7692212, price=13.18, amount=13.76719300, maker_side=buy, created_at=2018-06-03 17:19:43+00:00)
Trade(tid=7692233, price=13.18, amount=172.50289900, maker_side=buy, created_at=2018-06-03 17:20:07+00:00)
Trade(tid=7692238, price=13.19, amount=164.11978772, maker_side=sell, created_at=2018-06-03 17:20:12+00:00)
Trade(tid=7692391, price=13.19, amount=1120.56471928, maker_side=sell, created_at=2018-06-03 17:27:42+00:00)
Trade(tid=7692392, price=13.20, amount=406.64664472, maker_side=sell, created_at=2018-06-03 17:27:42+00:00)
Trade(tid=7692404, price=13.20, amount=0.84848500, maker_side=sell, created_at=2018-06-03 17:28:39+00:00)
Trade(tid=7692405, price=13.20, amount=429.61287879, maker_side=sell, created_at=2018-06-03 17:28:40+00:00)
Trade(tid=7692408, price=13.20, amount=3.78787879, maker_side=sell, created_at=2018-06-03 17:28:52+00:00)
Trade(tid=7692411, price=13.20, amount=4393.93939400, maker_side=sell, created_at=2018-06-03 17:28:54+00:00)
Trade(tid=7692420, price=13.20, amount=1439.39394000, maker_side=sell, created_at=2018-06-03 17:29:39+00:00)
Trade(tid=7692433, price=13.20, amount=26.43939400, maker_side=sell, created_at=2018-06-03 17:30:25+00:00)
Trade(tid=7692434, price=13.20, amount=0.07535500, maker_side=sell, created_at=2018-06-03 17:30:25+00:00)
Trade(tid=7692435, price=13.29, amount=72.62164200, maker_side=sell, created_at=2018-06-03 17:30:25+00:00)
